	D:\Pacientes\CDTI\Daniel\daniel_marcha.txt
	ACCL_X_F
	ANALOG
	PROCESSED
ITEM	X
1	1.311214
2	1.220336
3	1.087023
4	0.921892
5	0.739292
6	0.555817
7	0.388268
8	0.251108
9	0.154109
10	0.101191
11	0.090593
12	0.115839
13	0.167171
14	0.233352
15	0.303512
16	0.368663
17	0.422715
18	0.462930
19	0.489657
20	0.505423
21	0.513777
22	0.518421
23	0.522864
24	0.530362
25	0.543750
26	0.564989
27	0.594625
28	0.631396
29	0.672092
30	0.711749
31	0.744203
32	0.762949
33	0.762147
34	0.737552
35	0.687039
36	0.610543
37	0.509640
38	0.387164
39	0.246899
40	0.093292
41	-0.068719
42	-0.233775
43	-0.396107
44	-0.549311
45	-0.685891
46	-0.797084
47	-0.873724
48	-0.908347
49	-0.897719
50	-0.844428
51	-0.756776
52	-0.647471
53	-0.532129
54	-0.427523
55	-0.348960
56	-0.307315
57	-0.307278
58	-0.347419
59	-0.421369
60	-0.519141
61	-0.628425
62	-0.736039
63	-0.829576
64	-0.898995
65	-0.937975
66	-0.944671
67	-0.921506
68	-0.874150
69	-0.810245
70	-0.738228
71	-0.666206
72	-0.600963
73	-0.547318
74	-0.507981
75	-0.483986
76	-0.475462
77	-0.482174
78	-0.503459
79	-0.537790
80	-0.582523
81	-0.634108
82	-0.688622
83	-0.742324
84	-0.792050
85	-0.835355
86	-0.870418
87	-0.895762
88	-0.909959
89	-0.911536
90	-0.899184
91	-0.872095
92	-0.830189
93	-0.774146
94	-0.705351
95	-0.625801
96	-0.537960
97	-0.444576
98	-0.348594
99	-0.253293
100	-0.162550
101	-0.080601
102	-0.010770
103	0.046327
104	0.093746
105	0.137777
106	0.186640
107	0.248920
108	0.331771
109	0.439131
110	0.570573
111	0.721096
112	0.881673
113	1.040401
114	1.184261
115	1.301193
116	1.381869
117	1.420722
118	1.416263
119	1.370847
120	1.290019
121	1.181548
122	1.054363
123	0.917555
124	0.779582
125	0.647825
126	0.528466
127	0.426435
128	0.345295
129	0.287179
130	0.252875
131	0.241931
132	0.252769
133	0.282897
134	0.329149
135	0.387852
136	0.454961
137	0.526339
138	0.598102
139	0.666816
140	0.729405
141	0.782876
142	0.824094
143	0.849773
144	0.856784
145	0.842765
146	0.806800
147	0.749828
148	0.674534
149	0.584751
150	0.484640
151	0.377951
152	0.267629
153	0.155790
154	0.043941
155	-0.066606
156	-0.174106
157	-0.275858
158	-0.368171
159	-0.446992
160	-0.509096
161	-0.553554
162	-0.582721
163	-0.602253
164	-0.620229
165	-0.645154
166	-0.683229
167	-0.736534
168	-0.803071
169	-0.877735
170	-0.953371
171	-1.022094
172	-1.076919
173	-1.113167
174	-1.129054
175	-1.125265
176	-1.103914
177	-1.067453
178	-1.017943
179	-0.956970
180	-0.886222
181	-0.808320
182	-0.727215
183	-0.647880
184	-0.575636
185	-0.515541
186	-0.472052
187	-0.448936
188	-0.449173
189	-0.474596
190	-0.525327
191	-0.599321
192	-0.692245
193	-0.797764
194	-0.908060
195	-1.014483
196	-1.108342
197	-1.181816
198	-1.228829
199	-1.245655
200	-1.231113
201	-1.186283
202	-1.113871
203	-1.017514
204	-0.901486
205	-0.771010
206	-0.632710
207	-0.494367
208	-0.363468
209	-0.244924
210	-0.139255
211	-0.042690
212	0.050664
213	0.145933
214	0.245507
215	0.348616
216	0.451954
217	0.550733
218	0.640025
219	0.716228
220	0.777909
221	0.825655
222	0.861554
223	0.888916
224	0.911828
225	0.934184
226	0.958600
227	0.985793
228	1.014527
229	1.041867
230	1.063654
231	1.075336
232	1.073102
233	1.054703
234	1.019419
235	0.967435
236	0.899322
237	0.815978
238	0.718881
239	0.610482
240	0.494615
241	0.376734
242	0.263556
243	0.162073
244	0.078418
245	0.017072
246	-0.019551
247	-0.031254
248	-0.019888
249	0.011179
250	0.057793
251	0.115685
252	0.180966
253	0.250331
254	0.320910
255	0.389834
256	0.453675
257	0.508148
258	0.548398
259	0.569867
260	0.569319
261	0.545582
262	0.499746
263	0.434608
264	0.353554
265	0.259481
266	0.154427
267	0.039957
268	-0.082122
269	-0.209176
270	-0.337506
271	-0.462219
272	-0.576932
273	-0.673619
274	-0.743499
275	-0.779464
276	-0.778968
277	-0.745656
278	-0.688965
279	-0.621765
280	-0.557315
281	-0.507240
282	-0.480728
283	-0.483688
284	-0.517712
285	-0.579840
286	-0.663623
287	-0.760803
288	-0.862717
289	-0.960951
290	-1.047373
291	-1.114107
292	-1.154145
293	-1.162718
294	-1.138657
295	-1.084912
296	-1.008078
297	-0.917208
298	-0.822291
299	-0.732729
300	-0.656204
301	-0.598047
302	-0.561104
303	-0.546001
304	-0.551653
305	-0.575726
306	-0.614837
307	-0.664657
308	-0.720300
309	-0.776994
310	-0.830648
311	-0.878020
312	-0.916534
313	-0.943964
314	-0.958119
315	-0.956685
316	-0.937429
317	-0.898881
318	-0.841271
319	-0.767041
320	-0.680418
321	-0.586266
322	-0.488878
323	-0.391257
324	-0.295068
325	-0.201160
326	-0.110248
327	-0.023502
328	0.056931
329	0.127753
330	0.185385
331	0.227946
332	0.256997
333	0.277607
334	0.296763
335	0.321381
336	0.356810
337	0.405940
338	0.468945
339	0.543634
340	0.626144
341	0.711667
342	0.795012
343	0.871117
344	0.935760
345	0.986272
346	1.021717
347	1.042409
348	1.049168
349	1.042801
350	1.023951
351	0.993249
352	0.951592
353	0.900461
354	0.842281
355	0.780569
356	0.719597
357	0.663646
358	0.616236
359	0.579616
360	0.554675
361	0.541305
362	0.539003
363	0.547260
364	0.565472
365	0.592575
366	0.626760
367	0.665342
368	0.704553
369	0.739257
370	0.762956
371	0.768438
372	0.748925
373	0.699296
374	0.616986
375	0.502337
376	0.358321
377	0.189722
378	0.002168
379	-0.198529
380	-0.406520
381	-0.615570
382	-0.818392
383	-1.006107
384	-1.168202
385	-1.293095
386	-1.369855
387	-1.391241
388	-1.356464
389	-1.271847
390	-1.149457
391	-1.004689
392	-0.853881
393	-0.712747
394	-0.595291
395	-0.512363
396	-0.469969
397	-0.468434
398	-0.503005
399	-0.565462
400	-0.645881
401	-0.733975
402	-0.819830
403	-0.894382
404	-0.950082
405	-0.981784
406	-0.987263
407	-0.967061
408	-0.923914
409	-0.862148
410	-0.787055
411	-0.704297
412	-0.619505
413	-0.538166
414	-0.465624
415	-0.407017
416	-0.367052
417	-0.349562
418	-0.356862
419	-0.389138
420	-0.444165
421	-0.517528
422	-0.603312
423	-0.694944
424	-0.785834
425	-0.869734
426	-0.941003
427	-0.994957
428	-1.028293
429	-1.039538
430	-1.029335
431	-1.000385
432	-0.956811
433	-0.902969
434	-0.842029
435	-0.774933
436	-0.700250
437	-0.615013
438	-0.516124
439	-0.401786
440	-0.272659
441	-0.132634
442	0.011348
443	0.150796
444	0.277798
445	0.386611
446	0.474468
447	0.542061
448	0.593557
449	0.635717
450	0.676259
451	0.722008
452	0.777236
453	0.842528
454	0.914521
455	0.986783
456	1.051607
457	1.101997
458	1.133088
459	1.142616
460	1.130537
461	1.098249
462	1.047868
463	0.981712
464	0.902076
465	0.811407
466	0.712835
467	0.610658
468	0.510328
469	0.417897
470	0.339234
471	0.279300
472	0.241543
