	D:\Pacientes\CDTI\Daniel\daniel_marcha.txt
	ACCL_Y_F
	ANALOG
	PROCESSED
ITEM	X
1	-2.015245
2	-1.848383
3	-1.614079
4	-1.341643
5	-1.061923
6	-0.804327
7	-0.593659
8	-0.447297
9	-0.373363
10	-0.370291
11	-0.427793
12	-0.529028
13	-0.653673
14	-0.781437
15	-0.895216
16	-0.983157
17	-1.039298
18	-1.062911
19	-1.057019
20	-1.026677
21	-0.977504
22	-0.914718
23	-0.842657
24	-0.764496
25	-0.681939
26	-0.594917
27	-0.501464
28	-0.397917
29	-0.279469
30	-0.140971
31	0.022141
32	0.213027
33	0.432828
34	0.680332
35	0.951987
36	1.242186
37	1.543534
38	1.846742
39	2.140171
40	2.409375
41	2.637166
42	2.804556
43	2.892421
44	2.883672
45	2.766161
46	2.535877
47	2.198574
48	1.768804
49	1.267620
50	0.720701
51	0.157043
52	-0.392522
53	-0.897052
54	-1.327400
55	-1.658741
56	-1.873605
57	-1.964430
58	-1.934886
59	-1.799794
60	-1.583600
61	-1.317628
62	-1.036481
63	-0.773902
64	-0.558559
65	-0.410663
66	-0.340101
67	-0.346000
68	-0.417520
69	-0.535940
70	-0.677992
71	-0.820040
72	-0.942306
73	-1.032163
74	-1.085658
75	-1.106789
76	-1.104723
77	-1.090033
78	-1.071339
79	-1.053231
80	-1.035638
81	-1.014434
82	-0.982804
83	-0.932826
84	-0.856764
85	-0.747945
86	-0.601344
87	-0.414030
88	-0.185481
89	0.082282
90	0.384705
91	0.714820
92	1.063417
93	1.419288
94	1.769638
95	2.100702
96	2.398326
97	2.648340
98	2.836831
99	2.950517
100	2.977586
101	2.909652
102	2.744258
103	2.485955
104	2.145405
105	1.738081
106	1.283327
107	0.803330
108	0.321904
109	-0.136712
110	-0.549213
111	-0.894861
112	-1.157239
113	-1.325935
114	-1.397938
115	-1.378460
116	-1.280849
117	-1.125460
118	-0.937593
119	-0.744720
120	-0.573343
121	-0.445928
122	-0.378384
123	-0.378315
124	-0.444202
125	-0.565873
126	-0.726500
127	-0.905791
128	-1.083508
129	-1.242470
130	-1.370509
131	-1.461139
132	-1.513017
133	-1.528580
134	-1.512356
135	-1.469328
136	-1.403738
137	-1.318512
138	-1.215239
139	-1.094431
140	-0.955911
141	-0.799260
142	-0.624293
143	-0.431421
144	-0.221761
145	0.003094
146	0.241489
147	0.492117
148	0.754250
149	1.027687
150	1.312304
151	1.607224
152	1.909673
153	2.213778
154	2.509675
155	2.783217
156	3.016303
157	3.187902
158	3.276469
159	3.264053
160	3.140411
161	2.904576
162	2.563574
163	2.130459
164	1.623324
165	1.064968
166	0.482293
167	-0.094670
168	-0.634288
169	-1.106082
170	-1.484429
171	-1.752070
172	-1.902490
173	-1.940617
174	-1.881542
175	-1.747653
176	-1.565310
177	-1.361897
178	-1.163359
179	-0.991979
180	-0.864490
181	-0.790574
182	-0.771750
183	-0.801104
184	-0.864659
185	-0.944554
186	-1.023151
187	-1.086686
188	-1.127461
189	-1.144188
190	-1.140650
191	-1.123297
192	-1.098752
193	-1.071979
194	-1.045423
195	-1.018952
196	-0.990226
197	-0.955158
198	-0.908376
199	-0.843812
200	-0.755484
201	-0.638415
202	-0.489491
203	-0.308111
204	-0.096470
205	0.140714
206	0.397051
207	0.665627
208	0.939880
209	1.213624
210	1.480207
211	1.731557
212	1.957803
213	2.147447
214	2.287891
215	2.366377
216	2.371707
217	2.296771
218	2.140564
219	1.908259
220	1.609869
221	1.259180
222	0.873587
223	0.474155
224	0.084767
225	-0.269842
226	-0.566374
227	-0.785334
228	-0.913828
229	-0.948315
230	-0.896151
231	-0.775178
232	-0.611487
233	-0.435974
234	-0.280115
235	-0.171459
236	-0.129745
237	-0.164561
238	-0.274641
239	-0.448423
240	-0.665956
241	-0.902211
242	-1.131196
243	-1.329930
244	-1.481534
245	-1.576968
246	-1.615116
247	-1.601298
248	-1.544849
249	-1.456523
250	-1.346422
251	-1.222721
252	-1.091087
253	-0.954610
254	-0.814152
255	-0.668994
256	-0.517559
257	-0.357987
258	-0.188458
259	-0.007288
260	0.187055
261	0.395903
262	0.620297
263	0.860927
264	1.117983
265	1.390537
266	1.675249
267	1.964834
268	2.247037
269	2.504567
270	2.716113
271	2.858469
272	2.910039
273	2.855545
274	2.689977
275	2.419399
276	2.058461
277	1.626901
278	1.147338
279	0.644593
280	0.145320
281	-0.322837
282	-0.732887
283	-1.061299
284	-1.291508
285	-1.416809
286	-1.441674
287	-1.381270
288	-1.259291
289	-1.104496
290	-0.946682
291	-0.812877
292	-0.724249
293	-0.693954
294	-0.725841
295	-0.813978
296	-0.943403
297	-1.092623
298	-1.237665
299	-1.356788
300	-1.434590
301	-1.464462
302	-1.448752
303	-1.396640
304	-1.320577
305	-1.232648
306	-1.141979
307	-1.053627
308	-0.968763
309	-0.885519
310	-0.799968
311	-0.706988
312	-0.600964
313	-0.476384
314	-0.328427
315	-0.153653
316	0.049282
317	0.279136
318	0.532084
319	0.802134
320	1.081626
321	1.361641
322	1.632346
323	1.883245
324	2.103300
325	2.281146
326	2.405612
327	2.466341
328	2.454460
329	2.363932
330	2.193691
331	1.948763
332	1.639008
333	1.276969
334	0.876933
335	0.455480
336	0.032344
337	-0.369689
338	-0.726374
339	-1.014705
340	-1.216148
341	-1.319824
342	-1.324700
343	-1.240057
344	-1.084325
345	-0.882882
346	-0.665158
347	-0.461143
348	-0.297590
349	-0.194658
350	-0.163752
351	-0.206686
352	-0.315770
353	-0.474781
354	-0.661308
355	-0.850406
356	-1.018780
357	-1.148486
358	-1.229317
359	-1.259353
360	-1.243690
361	-1.191983
362	-1.115730
363	-1.025957
364	-0.931510
365	-0.837995
366	-0.747497
367	-0.659083
368	-0.569754
369	-0.475412
370	-0.371588
371	-0.253899
372	-0.118298
373	0.038711
374	0.219789
375	0.426446
376	0.658842
377	0.915791
378	1.194698
379	1.490990
380	1.796905
381	2.100061
382	2.382437
383	2.620639
384	2.788462
385	2.862087
386	2.826027
387	2.676605
388	2.421500
389	2.076914
390	1.664791
391	1.210840
392	0.742926
393	0.289638
394	-0.121309
395	-0.465547
396	-0.725278
397	-0.892096
398	-0.968430
399	-0.967210
400	-0.909767
401	-0.822476
402	-0.732853
403	-0.665732
404	-0.640145
405	-0.667282
406	-0.749431
407	-0.879744
408	-1.042973
409	-1.217634
410	-1.379687
411	-1.506992
412	-1.583312
413	-1.600903
414	-1.561191
415	-1.473473
416	-1.352190
417	-1.213777
418	-1.073927
419	-0.945645
420	-0.838038
421	-0.755734
422	-0.698865
423	-0.663570
424	-0.642840
425	-0.627452
426	-0.606848
427	-0.569983
428	-0.506200
429	-0.406082
430	-0.262195
431	-0.069675
432	0.173348
433	0.465467
434	0.801698
435	1.172961
436	1.565404
437	1.959968
438	2.332629
439	2.655542
440	2.899384
441	3.037340
442	3.050144
443	2.929780
444	2.679914
445	2.314022
446	1.853528
447	1.326797
448	0.767932
449	0.214171
450	-0.297814
451	-0.735599
452	-1.074086
453	-1.297953
454	-1.403172
455	-1.397097
456	-1.297070
457	-1.127916
458	-0.918919
459	-0.700622
460	-0.501578
461	-0.345390
462	-0.248546
463	-0.219270
464	-0.257153
465	-0.353304
466	-0.491357
467	-0.649867
468	-0.805953
469	-0.939279
470	-1.035281
471	-1.086799
472	-1.093830
