	D:\Pacientes\CDTI\Daniel\daniel_marcha.txt
	ACCL_Z_F
	ANALOG
	PROCESSED
ITEM	X
1	1.252022
2	1.210270
3	1.147249
4	1.065279
5	0.966065
6	0.850983
7	0.721404
8	0.578987
9	0.425811
10	0.264256
11	0.096729
12	-0.074537
13	-0.247557
14	-0.420591
15	-0.592038
16	-0.760243
17	-0.923320
18	-1.079070
19	-1.224960
20	-1.358110
21	-1.475389
22	-1.573663
23	-1.650167
24	-1.702871
25	-1.730775
26	-1.734091
27	-1.714284
28	-1.673955
29	-1.616587
30	-1.546310
31	-1.467732
32	-1.385693
33	-1.304823
34	-1.228691
35	-1.158553
36	-1.092412
37	-1.025078
38	-0.948997
39	-0.855394
40	-0.735880
41	-0.584594
42	-0.400313
43	-0.187048
44	0.047847
45	0.296174
46	0.549326
47	0.797849
48	1.032515
49	1.246192
50	1.434348
51	1.593893
52	1.721847
53	1.815011
54	1.870482
55	1.886558
56	1.863590
57	1.804358
58	1.713818
59	1.598475
60	1.465550
61	1.321967
62	1.173467
63	1.024252
64	0.877218
65	0.734454
66	0.597686
67	0.468392
68	0.347615
69	0.235749
70	0.132500
71	0.037052
72	-0.051701
73	-0.134942
74	-0.213824
75	-0.289442
76	-0.362846
77	-0.435054
78	-0.506946
79	-0.579020
80	-0.651132
81	-0.722373
82	-0.791155
83	-0.855469
84	-0.913188
85	-0.962331
86	-1.001234
87	-1.028643
88	-1.043696
89	-1.045777
90	-1.034293
91	-1.008644
92	-0.968512
93	-0.914084
94	-0.845691
95	-0.763281
96	-0.666666
97	-0.556460
98	-0.434937
99	-0.305770
100	-0.172243
101	-0.035812
102	0.103405
103	0.245835
104	0.392137
105	0.542426
106	0.695309
107	0.847343
108	0.993014
109	1.125633
110	1.238873
111	1.328088
112	1.390982
113	1.427462
114	1.438801
115	1.426754
116	1.393184
117	1.339972
118	1.268879
119	1.181418
120	1.078939
121	0.962892
122	0.835120
123	0.697996
124	0.554294
125	0.406899
126	0.258481
127	0.111131
128	-0.033860
129	-0.175927
130	-0.314940
131	-0.450847
132	-0.583365
133	-0.711775
134	-0.834814
135	-0.950667
136	-1.057105
137	-1.151724
138	-1.232178
139	-1.296344
140	-1.342467
141	-1.369364
142	-1.376757
143	-1.365669
144	-1.338566
145	-1.299047
146	-1.251156
147	-1.198573
148	-1.143898
149	-1.088221
150	-1.030957
151	-0.969942
152	-0.901808
153	-0.822544
154	-0.728246
155	-0.616283
156	-0.486356
157	-0.340008
158	-0.178483
159	-0.001842
160	0.188946
161	0.389795
162	0.593929
163	0.794091
164	0.984134
165	1.158937
166	1.313631
167	1.443438
168	1.544245
169	1.613372
170	1.650012
171	1.655115
172	1.630946
173	1.580656
174	1.507921
175	1.416497
176	1.309841
177	1.191008
178	1.062800
179	0.927972
180	0.789448
181	0.650371
182	0.513849
183	0.382504
184	0.258096
185	0.141378
186	0.032193
187	-0.070269
188	-0.167186
189	-0.259858
190	-0.349549
191	-0.437400
192	-0.524362
193	-0.611083
194	-0.697753
195	-0.784022
196	-0.868990
197	-0.951219
198	-1.028710
199	-1.098895
200	-1.158747
201	-1.205163
202	-1.235647
203	-1.249045
204	-1.245863
205	-1.227853
206	-1.196912
207	-1.153755
208	-1.097250
209	-1.024996
210	-0.934320
211	-0.822779
212	-0.688544
213	-0.531319
214	-0.353229
215	-0.158241
216	0.049654
217	0.266786
218	0.488516
219	0.708917
220	0.921464
221	1.119583
222	1.297000
223	1.447648
224	1.565721
225	1.646524
226	1.687450
227	1.688444
228	1.651804
229	1.581463
230	1.482119
231	1.358607
232	1.215575
233	1.057384
234	0.888124
235	0.711707
236	0.532000
237	0.352972
238	0.178667
239	0.012858
240	-0.141446
241	-0.282411
242	-0.409561
243	-0.523657
244	-0.626299
245	-0.719420
246	-0.804856
247	-0.884042
248	-0.957791
249	-1.026169
250	-1.088502
251	-1.143494
252	-1.189448
253	-1.224546
254	-1.247223
255	-1.256629
256	-1.253046
257	-1.238061
258	-1.214400
259	-1.185415
260	-1.154339
261	-1.123476
262	-1.093350
263	-1.061899
264	-1.024263
265	-0.973504
