	G:\BARCELONA\Modelos\Lumbar\Capturas\marcha.c3d
	RIPS_A
	TARGET
	ACCELERATION
ITEM	X
1	0.707470
2	0.663921
3	0.599548
4	0.517666
5	0.424162
6	0.328198
7	0.240654
8	0.170097
9	0.123829
10	0.104159
11	0.110529
12	0.140928
13	0.191629
14	0.257939
15	0.334084
16	0.413135
17	0.490174
18	0.560731
19	0.623241
20	0.677407
21	0.723898
22	0.764690
23	0.798553
24	0.826865
25	0.853539
26	0.881404
27	0.913106
28	0.947304
29	0.980981
30	1.010820
31	1.032874
32	1.044124
33	1.039878
34	1.018010
35	0.977777
36	0.917502
37	0.837371
38	0.737645
39	0.620261
40	0.487156
41	0.341311
42	0.185072
43	0.021048
44	-0.147521
45	-0.315681
46	-0.473931
47	-0.613630
48	-0.723079
49	-0.793859
50	-0.823215
51	-0.814125
52	-0.773594
53	-0.712648
54	-0.647604
55	-0.594258
56	-0.566244
57	-0.567809
58	-0.600889
59	-0.660941
60	-0.738651
61	-0.822917
62	-0.902191
63	-0.967979
64	-1.012385
65	-1.030341
66	-1.022071
67	-0.989884
68	-0.938475
69	-0.875145
70	-0.805855
71	-0.736564
72	-0.670701
73	-0.611693
74	-0.561178
75	-0.519603
76	-0.488311
77	-0.467151
78	-0.458658
79	-0.462979
80	-0.479966
81	-0.506490
82	-0.538379
83	-0.573248
84	-0.605881
85	-0.632554
86	-0.650287
87	-0.657141
88	-0.652522
89	-0.636280
90	-0.607669
91	-0.565946
92	-0.512898
93	-0.449419
94	-0.378340
95	-0.300258
96	-0.217706
97	-0.135750
98	-0.057220
99	0.014007
100	0.074506
101	0.120699
102	0.148267
103	0.155717
104	0.146031
105	0.125468
106	0.102371
107	0.085831
108	0.086129
109	0.109076
110	0.159293
111	0.237375
112	0.340492
113	0.462979
114	0.594556
115	0.726134
116	0.845641
117	0.942498
118	1.011938
119	1.050085
120	1.055300
121	1.027733
122	0.969619
123	0.887066
124	0.787526
125	0.679940
126	0.573099
127	0.473857
128	0.390112
129	0.326931
130	0.289679
131	0.278652
132	0.294149
133	0.334084
134	0.393093
135	0.467002
136	0.550449
137	0.641793
138	0.737309
139	0.833422
140	0.922233
141	1.001060
142	1.067370
143	1.117736
144	1.150072
145	1.161098
146	1.149923
147	1.115948
148	1.058578
149	0.982136
150	0.892431
151	0.794083
152	0.692606
153	0.588894
154	0.485480
155	0.382066
156	0.278503
157	0.174046
158	0.065863
159	-0.043660
160	-0.150204
161	-0.247359
162	-0.330657
163	-0.403076
164	-0.470430
165	-0.541210
166	-0.621527
167	-0.712872
168	-0.812113
169	-0.914335
170	-1.015365
171	-1.108050
172	-1.185834
173	-1.243651
174	-1.276731
175	-1.283884
176	-1.266003
177	-1.227260
178	-1.168549
179	-1.093149
180	-1.004636
181	-0.909269
182	-0.810325
183	-0.714660
184	-0.626445
185	-0.550151
186	-0.489652
187	-0.447035
188	-0.422299
189	-0.417829
190	-0.436306
191	-0.478029
192	-0.539124
193	-0.615716
194	-0.702143
195	-0.790358
196	-0.870228
197	-0.935197
198	-0.974834
199	-0.985563
200	-0.964701
201	-0.911057
202	-0.829697
203	-0.719726
204	-0.591576
205	-0.449121
206	-0.297725
207	-0.145435
208	0.000596
209	0.133216
210	0.247061
211	0.345111
212	0.426769
213	0.499487
214	0.563860
215	0.620782
216	0.668168
217	0.701845
218	0.718832
219	0.715554
220	0.693798
221	0.656247
222	0.607371
223	0.551939
224	0.497103
225	0.451803
226	0.425875
227	0.424087
228	0.448227
229	0.495613
230	0.562072
231	0.641346
232	0.722706
233	0.798106
234	0.860095
235	0.903010
236	0.920296
237	0.910759
238	0.870228
239	0.800192
240	0.703633
241	0.586212
242	0.460744
243	0.337362
244	0.229776
245	0.143945
246	0.088513
247	0.064075
248	0.070035
249	0.103712
250	0.160336
251	0.233650
252	0.316799
253	0.403225
254	0.492036
255	0.578761
256	0.663996
257	0.739992
258	0.802577
259	0.844300
260	0.863969
261	0.856519
262	0.825226
263	0.773072
264	0.708401
265	0.632107
266	0.542998
267	0.440776
268	0.329316
269	0.212193
270	0.091195
271	-0.034571
272	-0.164211
273	-0.296831
274	-0.419617
275	-0.522733
276	-0.593066
277	-0.627637
278	-0.630617
279	-0.615418
280	-0.591576
281	-0.570714
282	-0.562668
283	-0.575781
284	-0.615418
285	-0.675619
286	-0.751615
287	-0.835359
288	-0.919700
289	-0.997484
290	-1.066923
291	-1.124740
292	-1.165271
293	-1.181066
294	-1.171827
295	-1.134574
296	-1.075566
297	-1.001954
298	-0.921190
299	-0.838339
300	-0.759065
301	-0.685155
302	-0.622571
303	-0.574887
304	-0.547171
305	-0.535250
306	-0.536442
307	-0.550151
308	-0.571907
309	-0.600815
310	-0.628829
311	-0.653267
312	-0.672638
313	-0.686646
314	-0.694990
315	-0.687838
316	-0.661612
317	-0.613034
318	-0.544190
319	-0.460148
320	-0.365376
321	-0.265539
322	-0.166893
323	-0.072420
324	0.013709
325	0.094175
326	0.165403
327	0.224710
328	0.271797
329	0.301003
330	0.310838
331	0.299513
332	0.270009
333	0.223815
334	0.169277
335	0.114739
336	0.073612
337	0.053048
338	0.054836
339	0.081360
340	0.132024
341	0.205338
342	0.298321
343	0.402927
344	0.512898
345	0.617504
346	0.717044
347	0.807345
348	0.889301
349	0.956357
350	1.004040
351	1.030266
352	1.030266
353	1.007915
354	0.965595
355	0.911057
356	0.853539
357	0.797808
358	0.750124
359	0.714958
360	0.694990
361	0.691116
362	0.703037
363	0.728667
364	0.767708
365	0.815690
366	0.869036
367	0.921190
368	0.968874
369	1.006126
370	1.033843
371	1.049638
372	1.046956
373	1.016855
374	0.953972
375	0.859201
376	0.733435
377	0.585020
378	0.417531
379	0.237226
380	0.052154
381	-0.135899
382	-0.321567
383	-0.504851
384	-0.680685
385	-0.835061
386	-0.961423
387	-1.040697
388	-1.073480
389	-1.055598
390	-0.997186
391	-0.907779
392	-0.798702
393	-0.691414
394	-0.602603
395	-0.550151
396	-0.531077
397	-0.547171
398	-0.585914
399	-0.640750
400	-0.697374
401	-0.758171
402	-0.816584
403	-0.864863
404	-0.904202
405	-0.923872
406	-0.926852
407	-0.906587
408	-0.874996
409	-0.832677
410	-0.782013
411	-0.713468
412	-0.633001
413	-0.544190
414	-0.441670
415	-0.340343
416	-0.249743
417	-0.188351
418	-0.160336
419	-0.162125
420	-0.180006
421	-0.220537
422	-0.284314
423	-0.361800
424	-0.449419
425	-0.532269
426	-0.616908
427	-0.694394
428	-0.757575
429	-0.788569
430	-0.788569
431	-0.764728
432	-0.725389
433	-0.675917
434	-0.613928
435	-0.547767
436	-0.473261
437	-0.398755
438	-0.312328
439	-0.215769
440	-0.101328
441	0.020266
442	0.143051
443	0.250936
444	0.339150
445	0.403523
446	0.440478
447	0.453591
448	0.445247
449	0.426769
450	0.404119
451	0.396371
452	0.410676
453	0.454187
454	0.522733
455	0.604987
456	0.694394
457	0.776649
458	0.841022
459	0.885129
460	0.907183
461	0.918508
462	0.920892
463	0.910163
464	0.880957
465	0.836849
466	0.775456
467	0.708103
468	0.631809
469	0.560880
470	0.494719
471	0.438094
472	0.396967
