	G:\BARCELONA\Modelos\Lumbar\Capturas\marcha.c3d
	RIPS_A
	TARGET
	ACCELERATION
ITEM	Y
1	-1.839399
2	-1.789331
3	-1.690388
4	-1.552105
5	-1.378059
6	-1.180172
7	-0.967979
8	-0.753403
9	-0.543594
10	-0.351667
11	-0.170469
12	-0.007153
13	0.145435
14	0.294447
15	0.438690
16	0.584126
17	0.730753
18	0.880957
19	1.033545
20	1.180172
21	1.317263
22	1.435280
23	1.529455
24	1.591444
25	1.639128
26	1.654625
27	1.654625
28	1.622438
29	1.575947
30	1.504421
31	1.429319
32	1.342297
33	1.264811
34	1.193285
35	1.142025
36	1.097918
37	1.077652
38	1.046658
39	1.019239
40	0.956059
41	0.874996
42	0.745058
43	0.587702
44	0.394583
45	0.181198
46	-0.051260
47	-0.301600
48	-0.567436
49	-0.833273
50	-1.082420
51	-1.305342
52	-1.506805
53	-1.671314
54	-1.803637
55	-1.888275
56	-1.924038
57	-1.903772
58	-1.839399
59	-1.740456
60	-1.606941
61	-1.446009
62	-1.262426
63	-1.072884
64	-0.884533
65	-0.715256
66	-0.568628
67	-0.444651
68	-0.340939
69	-0.244379
70	-0.162125
71	-0.085831
72	-0.016689
73	0.041723
74	0.095367
75	0.154972
76	0.215769
77	0.288486
78	0.367165
79	0.455379
80	0.549555
81	0.646114
82	0.747442
83	0.841618
84	0.926256
85	1.009703
86	1.089573
87	1.173019
88	1.250505
89	1.322031
90	1.380444
91	1.413822
92	1.431704
93	1.432896
94	1.417994
95	1.386404
96	1.335740
97	1.255274
98	1.142025
99	0.997782
100	0.830889
101	0.641346
102	0.438690
103	0.217557
104	-0.016093
105	-0.251532
106	-0.485182
107	-0.712276
108	-0.935793
109	-1.150966
110	-1.345873
111	-1.509786
112	-1.633167
113	-1.716018
114	-1.757741
115	-1.766682
116	-1.747608
117	-1.701117
118	-1.626611
119	-1.521707
120	-1.392961
121	-1.245737
122	-1.094341
123	-0.945926
124	-0.797510
125	-0.648499
126	-0.501275
127	-0.354648
128	-0.213981
129	-0.073910
130	0.063777
131	0.205636
132	0.349283
133	0.488758
134	0.620484
135	0.744462
136	0.863671
137	0.975132
138	1.075268
139	1.162291
140	1.229644
141	1.269579
142	1.286268
143	1.282394
144	1.265705
145	1.240075
146	1.211166
147	1.174212
148	1.125634
149	1.080930
150	1.032054
151	0.995994
152	0.952482
153	0.916123
154	0.865161
155	0.815988
156	0.743866
157	0.664294
158	0.548661
159	0.410676
160	0.231564
161	0.039339
162	-0.178814
163	-0.396073
164	-0.626147
165	-0.849068
166	-1.078993
167	-1.284033
168	-1.466274
169	-1.597852
170	-1.694560
171	-1.737326
172	-1.750141
173	-1.719892
174	-1.665354
175	-1.567453
176	-1.450926
177	-1.304150
178	-1.154691
179	-0.988021
180	-0.828952
181	-0.665188
182	-0.522882
183	-0.388771
184	-0.284351
185	-0.185184
186	-0.102445
187	-0.012852
188	0.067428
189	0.158437
190	0.237413
191	0.321604
192	0.397190
193	0.489056
194	0.580102
195	0.689290
196	0.795871
197	0.898652
198	0.999197
199	1.083389
200	1.172125
201	1.244694
202	1.318008
203	1.372173
204	1.423955
205	1.454502
206	1.481771
207	1.487136
208	1.484305
209	1.450479
210	1.407415
211	1.336038
212	1.251101
213	1.128465
214	0.984967
215	0.793189
216	0.571907
217	0.306964
218	0.033081
219	-0.261366
220	-0.542104
221	-0.823140
222	-1.080334
223	-1.332760
224	-1.547337
225	-1.725852
226	-1.839697
227	-1.907051
228	-1.910627
229	-1.875162
230	-1.784563
231	-1.664162
232	-1.501143
233	-1.329184
234	-1.138151
235	-0.955164
236	-0.762939
237	-0.582635
238	-0.399947
239	-0.237226
240	-0.079274
241	0.047684
242	0.170469
243	0.274777
244	0.387430
245	0.492334
246	0.603795
247	0.700355
248	0.795126
249	0.869632
250	0.949502
251	1.013875
252	1.082420
253	1.128316
254	1.172423
255	1.193285
256	1.211762
257	1.202822
258	1.187325
259	1.147985
260	1.116395
261	1.081824
262	1.062155
263	1.060963
264	1.057386
265	1.059771
266	1.032352
267	0.994205
268	0.921488
269	0.826120
270	0.692606
271	0.538230
272	0.343323
273	0.123382
274	-0.131130
275	-0.392199
276	-0.663996
277	-0.922084
278	-1.175404
279	-1.397729
280	-1.602173
281	-1.758933
282	-1.883507
283	-1.955628
284	-1.994967
285	-1.978874
286	-1.927614
287	-1.823902
288	-1.696348
289	-1.537800
290	-1.380444
291	-1.217127
292	-1.077652
293	-0.940561
294	-0.830889
295	-0.721216
296	-0.634193
297	-0.544786
298	-0.466108
299	-0.381470
300	-0.302792
301	-0.208616
302	-0.122786
303	-0.019073
304	0.079870
305	0.199080
306	0.315905
307	0.438690
308	0.554323
309	0.674725
310	0.789165
311	0.910759
312	1.019239
313	1.134872
314	1.235008
315	1.331568
316	1.407862
317	1.475811
318	1.524687
319	1.568794
320	1.591444
321	1.592636
322	1.552105
323	1.485348
324	1.381636
325	1.257658
326	1.113415
327	0.938177
328	0.748634
329	0.530481
330	0.305176
331	0.060797
332	-0.180006
333	-0.443459
334	-0.709295
335	-0.983477
336	-1.221895
337	-1.438856
338	-1.597404
339	-1.724958
340	-1.797676
341	-1.845360
342	-1.837015
343	-1.801252
344	-1.708269
345	-1.586676
346	-1.426935
347	-1.267195
348	-1.113415
349	-0.981092
350	-0.847578
351	-0.722408
352	-0.581741
353	-0.442266
354	-0.284910
355	-0.135899
356	0.013113
357	0.165701
358	0.306368
359	0.449419
360	0.571012
361	0.708103
362	0.854731
363	1.002550
364	1.134872
365	1.266003
366	1.380444
367	1.487732
368	1.564026
369	1.624823
370	1.642704
371	1.630783
372	1.583099
373	1.521111
374	1.432896
375	1.322031
376	1.177788
377	1.037121
378	0.876188
379	0.705719
380	0.499487
381	0.290871
382	0.063181
383	-0.171661
384	-0.431538
385	-0.674725
386	-0.908375
387	-1.115799
388	-1.294613
389	-1.428127
390	-1.523495
391	-1.597404
392	-1.635551
393	-1.680851
394	-1.721382
395	-1.764297
396	-1.749992
397	-1.721382
398	-1.664162
399	-1.597404
400	-1.480579
401	-1.354218
402	-1.204014
403	-1.060963
404	-0.886917
405	-0.715256
406	-0.538826
407	-0.379086
408	-0.219345
409	-0.104904
410	0.011921
411	0.119209
412	0.233650
413	0.314713
414	0.414848
415	0.534058
416	0.672340
417	0.772476
418	0.820160
419	0.822544
420	0.860691
421	0.922680
422	0.972748
423	0.967979
424	0.960827
425	0.956059
426	0.960827
427	0.922680
428	0.879765
429	0.839233
430	0.841618
431	0.863075
432	0.910759
433	0.939369
434	0.939369
435	0.882149
436	0.817776
437	0.753403
438	0.693798
439	0.603199
440	0.505447
441	0.379086
442	0.238419
443	0.069141
444	-0.097752
445	-0.293255
446	-0.498295
447	-0.722408
448	-0.915527
449	-1.094341
450	-1.254082
451	-1.411438
452	-1.542568
453	-1.633167
454	-1.721382
455	-1.752377
456	-1.742840
457	-1.721382
458	-1.704693
459	-1.668930
460	-1.606941
461	-1.511574
462	-1.406670
463	-1.270771
464	-1.118183
465	-0.932217
466	-0.758171
467	-0.584126
468	-0.443459
469	-0.321865
470	-0.207424
471	-0.073910
472	0.066757
