	G:\BARCELONA\Modelos\Lumbar\Capturas\marcha.c3d
	RIPS_A
	TARGET
	ACCELERATION
ITEM	Z
1	-1.813173
2	-1.707077
3	-1.494884
4	-1.223087
5	-0.916719
6	-0.617504
7	-0.357628
8	-0.168085
9	-0.052452
10	-0.033379
11	-0.092983
12	-0.224113
13	-0.404119
14	-0.606775
15	-0.813007
16	-0.998974
17	-1.149178
18	-1.258850
19	-1.331568
20	-1.356602
21	-1.356602
22	-1.323223
23	-1.269579
24	-1.199245
25	-1.116991
26	-1.022816
27	-0.920296
28	-0.803471
29	-0.671148
30	-0.519753
31	-0.338554
32	-0.131130
33	0.100136
34	0.368357
35	0.654459
36	0.965595
37	1.288652
38	1.614094
39	1.947880
40	2.260208
41	2.546310
42	2.789497
43	2.967119
44	3.057718
45	3.056526
46	2.936125
47	2.702475
48	2.361536
49	1.924038
50	1.409054
51	0.844002
52	0.257492
53	-0.306368
54	-0.823736
55	-1.258850
56	-1.587868
57	-1.797676
58	-1.890659
59	-1.857281
60	-1.729727
61	-1.523495
62	-1.273155
63	-1.010895
64	-0.767708
65	-0.575781
66	-0.448227
67	-0.385046
68	-0.394583
69	-0.454187
70	-0.547171
71	-0.663996
72	-0.782013
73	-0.880957
74	-0.963211
75	-1.014471
76	-1.044273
77	-1.057386
78	-1.060963
79	-1.066923
80	-1.076460
81	-1.078844
82	-1.075268
83	-1.057386
84	-1.012087
85	-0.939369
86	-0.826120
87	-0.675917
88	-0.481606
89	-0.238419
90	0.040531
91	0.356436
92	0.698566
93	1.049042
94	1.398325
95	1.732111
96	2.038479
97	2.297163
98	2.510548
99	2.652407
100	2.725124
101	2.715588
102	2.628565
103	2.467632
104	2.228022
105	1.918077
106	1.560450
107	1.151562
108	0.725985
109	0.295639
110	-0.115633
111	-0.478029
112	-0.780821
113	-0.998974
114	-1.121759
115	-1.153946
116	-1.103878
117	-0.978708
118	-0.816584
119	-0.638962
120	-0.466108
121	-0.340939
122	-0.268221
123	-0.268221
124	-0.339746
125	-0.474453
126	-0.655651
127	-0.869036
128	-1.081228
129	-1.283884
130	-1.455545
131	-1.592636
132	-1.689196
133	-1.751184
134	-1.769066
135	-1.764297
136	-1.726151
137	-1.662970
138	-1.579523
139	-1.462698
140	-1.330376
141	-1.165867
142	-0.976324
143	-0.765324
144	-0.534058
145	-0.282526
146	-0.020266
147	0.252724
148	0.542402
149	0.839233
150	1.151562
151	1.466274
152	1.790524
153	2.117157
154	2.435446
155	2.737045
156	3.008842
157	3.223419
158	3.366470
159	3.418922
160	3.356934
161	3.180504
162	2.895594
163	2.498627
164	2.026558
165	1.481771
166	0.897646
167	0.313520
168	-0.257492
169	-0.772476
170	-1.205206
171	-1.541376
172	-1.770258
173	-1.882315
174	-1.900196
175	-1.822710
176	-1.680851
177	-1.504421
178	-1.302958
179	-1.121759
180	-0.962019
181	-0.844002
182	-0.771284
183	-0.747442
184	-0.758171
185	-0.801086
186	-0.853539
187	-0.908375
188	-0.953674
189	-0.985861
190	-0.997782
191	-1.003742
192	-0.990629
193	-0.981092
194	-0.973940
195	-0.962019
196	-0.964403
197	-0.962019
198	-0.958443
199	-0.940561
200	-0.907183
201	-0.844002
202	-0.754595
203	-0.621080
204	-0.455379
205	-0.253916
206	-0.017881
207	0.234842
208	0.506639
209	0.780821
210	1.051426
211	1.306534
212	1.541376
213	1.742840
214	1.906157
215	2.018213
216	2.075434
217	2.067089
218	1.986027
219	1.838207
220	1.630783
221	1.367331
222	1.060963
223	0.736713
224	0.400543
225	0.087023
226	-0.191927
227	-0.412464
228	-0.548363
229	-0.600815
230	-0.561476
231	-0.448227
232	-0.290871
233	-0.115633
234	0.047684
235	0.156164
236	0.189543
237	0.141859
238	0.002384
239	-0.205040
240	-0.469685
241	-0.765324
242	-1.055002
243	-1.318455
244	-1.536608
245	-1.686811
246	-1.772642
247	-1.797676
248	-1.766682
249	-1.693964
250	-1.590252
251	-1.472235
252	-1.347065
253	-1.209974
254	-1.074076
255	-0.929832
256	-0.774860
257	-0.610352
258	-0.436306
259	-0.240803
260	-0.034571
261	0.190735
262	0.431538
263	0.685453
264	0.957251
265	1.245737
266	1.548529
267	1.865625
268	2.183914
269	2.489090
270	2.763271
271	2.976656
272	3.113747
273	3.149509
274	3.064871
275	2.868176
276	2.551079
277	2.143383
278	1.670122
279	1.146793
280	0.605583
281	0.083447
282	-0.404119
283	-0.824928
284	-1.159906
285	-1.394749
286	-1.523495
287	-1.547337
288	-1.491308
289	-1.363754
290	-1.209974
291	-1.043081
292	-0.894070
293	-0.790358
294	-0.731945
295	-0.729561
296	-0.778437
297	-0.870228
298	-0.978708
299	-1.089573
300	-1.174212
301	-1.227856
302	-1.245737
303	-1.224279
304	-1.187325
305	-1.133680
306	-1.074076
307	-1.016855
308	-0.962019
309	-0.905991
310	-0.857115
311	-0.804663
312	-0.741482
313	-0.668764
314	-0.566244
315	-0.439882
316	-0.278950
317	-0.081062
318	0.141859
319	0.391006
320	0.662804
321	0.940561
322	1.220703
323	1.492500
324	1.733303
325	1.943111
326	2.095699
327	2.191067
328	2.222061
329	2.183914
330	2.073050
331	1.897812
332	1.653433
333	1.360178
334	1.025200
335	0.656843
336	0.275373
337	-0.096560
338	-0.448227
339	-0.739098
340	-0.964403
341	-1.102686
342	-1.134872
343	-1.084805
344	-0.950098
345	-0.761747
346	-0.545979
347	-0.338554
348	-0.162125
349	-0.048876
350	-0.003576
351	-0.040531
352	-0.157356
353	-0.338554
354	-0.563860
355	-0.803471
356	-1.022816
357	-1.207590
358	-1.342297
359	-1.422167
360	-1.453161
361	-1.435280
362	-1.384020
363	-1.316071
364	-1.225471
365	-1.133680
366	-1.043081
367	-0.945330
368	-0.848770
369	-0.745058
370	-0.628233
371	-0.504255
372	-0.361204
373	-0.189543
374	0.002384
375	0.222921
376	0.472069
377	0.751019
378	1.057386
379	1.389980
380	1.735687
381	2.090931
382	2.429485
383	2.729893
384	2.976060
385	3.132820
386	3.180504
387	3.105402
388	2.901554
389	2.578497
390	2.156496
391	1.664162
392	1.133680
393	0.599623
394	0.102520
395	-0.331402
396	-0.694990
397	-0.964403
398	-1.140833
399	-1.224279
400	-1.235008
401	-1.186132
402	-1.108646
403	-1.015663
404	-0.946522
405	-0.911951
406	-0.913143
407	-0.957251
408	-1.031160
409	-1.122952
410	-1.229048
411	-1.324415
412	-1.397133
413	-1.432896
414	-1.415014
415	-1.355410
416	-1.266003
417	-1.150370
418	-1.031160
419	-0.917912
420	-0.828505
421	-0.771284
422	-0.737906
423	-0.721216
424	-0.721216
425	-0.729561
426	-0.731945
427	-0.727177
428	-0.690222
429	-0.625849
430	-0.524521
431	-0.370741
432	-0.171661
433	0.085831
434	0.402927
435	0.765324
436	1.157522
437	1.555681
438	1.940727
439	2.285242
440	2.560616
441	2.743006
442	2.812147
443	2.764463
444	2.599955
445	2.337694
446	1.975298
447	1.531839
448	1.029968
449	0.499487
450	-0.010729
451	-0.454187
452	-0.822544
453	-1.081228
454	-1.227856
455	-1.263618
456	-1.199245
457	-1.063347
458	-0.866652
459	-0.630617
460	-0.401735
461	-0.202656
462	-0.060797
463	-0.002384
464	-0.016689
465	-0.119209
466	-0.277758
467	-0.458956
468	-0.642538
469	-0.817776
470	-0.969172
471	-1.102686
472	-1.183748
