	D:\Pacientes\CDTI\Federico\marcha.txt
	ACCL_X_F
	ANALOG
	PROCESSED
ITEM	X
1	0.925365
2	0.909769
3	0.888515
4	0.860580
5	0.824110
6	0.776556
7	0.715628
8	0.640739
9	0.554092
10	0.460545
11	0.366144
12	0.276208
13	0.194121
14	0.121188
15	0.057131
16	0.000604
17	-0.050490
18	-0.098688
19	-0.146394
20	-0.194948
21	-0.243565
22	-0.288415
23	-0.322244
24	-0.335057
25	-0.316227
26	-0.257451
27	-0.155460
28	-0.013717
29	0.157314
30	0.341403
31	0.518785
32	0.668790
33	0.772741
34	0.816951
35	0.794991
36	0.708552
37	0.566871
38	0.384975
39	0.180999
40	-0.026897
41	-0.223332
42	-0.397854
43	-0.546116
44	-0.669715
45	-0.774506
46	-0.867874
47	-0.955984
48	-1.042001
49	-1.125745
50	-1.204440
51	-1.273830
52	-1.329308
53	-1.366916
54	-1.384019
55	-1.379608
56	-1.354385
57	-1.310743
58	-1.252527
59	-1.184465
60	-1.111382
61	-1.037482
62	-0.966010
63	-0.899373
64	-0.839481
65	-0.787982
66	-0.746202
67	-0.714861
68	-0.693740
69	-0.681509
70	-0.675789
71	-0.673453
72	-0.671098
73	-0.665587
74	-0.654461
75	-0.636042
76	-0.609237
77	-0.573254
78	-0.527556
79	-0.472174
80	-0.407912
81	-0.336177
82	-0.258875
83	-0.178616
84	-0.099002
85	-0.024840
86	0.037657
87	0.080618
88	0.094649
89	0.070510
90	0.002625
91	-0.107375
92	-0.249291
93	-0.406073
94	-0.557589
95	-0.684283
96	-0.769522
97	-0.801198
98	-0.773683
99	-0.689579
100	-0.559632
101	-0.400435
102	-0.231003
103	-0.069161
104	0.071742
105	0.184947
106	0.270537
107	0.334113
108	0.384635
109	0.431918
110	0.484273
111	0.546821
112	0.620788
113	0.703727
114	0.790411
115	0.874151
116	0.948373
117	1.008038
118	1.050400
119	1.075044
120	1.083429
121	1.078238
122	1.062725
123	1.040044
124	1.012608
125	0.981780
126	0.948135
127	0.912120
128	0.874638
129	0.837145
130	0.801165
131	0.767659
132	0.736761
133	0.707952
134	0.680294
135	0.652372
136	0.622074
137	0.586589
138	0.542884
139	0.488657
140	0.423384
141	0.348951
142	0.269395
143	0.189755
144	0.114527
145	0.046395
146	-0.014307
147	-0.069488
148	-0.122833
149	-0.179022
150	-0.242470
151	-0.315891
152	-0.399355
153	-0.490053
154	-0.582242
155	-0.666961
156	-0.732120
157	-0.764176
158	-0.751675
159	-0.689424
160	-0.581537
161	-0.441819
162	-0.291110
163	-0.152984
164	-0.049646
165	0.001278
166	-0.010755
167	-0.087436
168	-0.221164
169	-0.396452
170	-0.592981
171	-0.789491
172	-0.967454
173	-1.113684
174	-1.221302
175	-1.289033
176	-1.319587
177	-1.318210
178	-1.292009
179	-1.249641
180	-1.200470
181	-1.152956
182	-1.112985
183	-1.082920
184	-1.061659
185	-1.045620
186	-1.030253
187	-1.011497
188	-0.986653
189	-0.954547
190	-0.915234
191	-0.869615
192	-0.819160
193	-0.765748
194	-0.711546
195	-0.658838
196	-0.609754
197	-0.565950
198	-0.528337
199	-0.496970
200	-0.471106
201	-0.449462
202	-0.430658
203	-0.413694
204	-0.398255
205	-0.384647
206	-0.373419
207	-0.364863
208	-0.358592
209	-0.353305
210	-0.346792
211	-0.336303
212	-0.319297
213	-0.294237
214	-0.261124
215	-0.222116
216	-0.182472
217	-0.151314
218	-0.141067
219	-0.164178
220	-0.227398
221	-0.327085
222	-0.449191
223	-0.573705
224	-0.679970
225	-0.750151
226	-0.770959
227	-0.735000
228	-0.642281
229	-0.500935
230	-0.325914
231	-0.135739
232	0.051380
233	0.220740
234	0.362946
235	0.474276
236	0.556200
237	0.614553
238	0.658118
239	0.696212
240	0.735843
241	0.779730
242	0.826119
243	0.870241
244	0.906448
245	0.930024
246	0.938241
247	0.930661
248	0.908857
249	0.875744
250	0.834832
251	0.789695
252	0.743698
253	0.699859
254	0.660765
255	0.628533
256	0.604718
257	0.590129
258	0.584632
259	0.587154
260	0.595901
261	0.608573
262	0.622399
263	0.634133
264	0.640235
265	0.637295
266	0.622572
267	0.594475
268	0.552810
269	0.498715
270	0.434398
271	0.362825
272	0.287386
273	0.211548
274	0.138519
275	0.070902
276	0.010282
277	-0.043235
278	-0.091291
279	-0.136999
280	-0.184032
281	-0.235427
282	-0.292457
283	-0.353583
284	-0.413773
285	-0.464905
286	-0.497495
287	-0.503003
288	-0.476217
289	-0.417501
290	-0.333845
291	-0.237878
292	-0.145465
293	-0.072835
294	-0.033734
295	-0.037133
296	-0.085958
297	-0.176795
298	-0.300370
299	-0.442885
300	-0.588341
301	-0.721494
302	-0.830775
303	-0.910388
304	-0.960874
305	-0.987814
306	-0.999172
307	-1.002537
308	-1.003449
309	-1.005131
310	-1.009043
311	-1.015428
312	-1.023552
313	-1.031813
314	-1.037998
315	-1.039730
316	-1.034965
317	-1.022367
318	-1.001415
319	-0.972272
320	-0.935547
321	-0.892131
322	-0.843200
323	-0.790338
324	-0.735690
325	-0.682010
326	-0.632460
327	-0.590133
328	-0.557406
329	-0.535408
330	-0.523835
331	-0.521202
332	-0.525349
333	-0.533928
334	-0.544643
335	-0.555289
336	-0.563725
337	-0.567952
338	-0.566231
339	-0.557053
340	-0.538893
341	-0.510036
342	-0.468903
343	-0.415036
344	-0.350565
345	-0.281604
346	-0.218900
347	-0.176947
348	-0.170599
349	-0.209403
350	-0.292435
351	-0.407130
352	-0.532922
353	-0.647088
354	-0.729387
355	-0.764248
356	-0.741862
357	-0.659690
358	-0.523664
359	-0.347281
360	-0.148452
361	0.054472
362	0.246108
363	0.416042
364	0.559111
365	0.674594
366	0.765386
367	0.837222
368	0.897209
369	0.951562
370	1.003546
371	1.052713
372	1.095697
373	1.127973
374	1.145600
375	1.146211
376	1.129141
377	1.095111
378	1.045909
379	0.984172
380	0.913214
381	0.836842
382	0.759124
383	0.684095
384	0.615411
385	0.556113
386	0.508573
387	0.474505
388	0.454921
389	0.450000
390	0.458929
391	0.479814
392	0.509719
393	0.544888
394	0.581118
395	0.614174
396	0.640093
397	0.655327
398	0.656817
399	0.642135
400	0.609710
401	0.558946
402	0.490078
403	0.403832
404	0.301237
405	0.183815
406	0.053999
407	-0.084632
408	-0.227592
409	-0.370017
410	-0.506980
411	-0.633345
412	-0.743342
413	-0.830121
414	-0.885779
415	-0.902334
416	-0.873588
417	-0.797285
418	-0.676933
419	-0.522730
420	-0.351009
421	-0.182115
422	-0.037365
423	0.064309
424	0.109587
425	0.092959
426	0.017155
427	-0.107828
428	-0.266378
429	-0.439461
430	-0.607513
431	-0.753680
432	-0.866673
433	-0.942518
434	-0.984480
435	-1.000890
436	-1.001748
437	-0.995710
438	-0.988623
439	-0.983685
440	-0.982381
441	-0.985212
442	-0.991930
443	-1.001482
444	-1.012013
445	-1.021088
446	-1.026180
447	-1.025272
448	-1.017316
449	-1.002378
450	-0.981417
451	-0.955884
452	-0.927387
453	-0.897578
454	-0.868272
455	-0.841615
456	-0.820053
457	-0.805954
458	-0.800975
459	-0.805465
460	-0.818167
461	-0.836350
462	-0.856238
463	-0.873582
464	-0.884181
465	-0.884300
466	-0.870912
467	-0.841834
468	-0.795848
469	-0.732869
470	-0.654038
471	-0.561647
472	-0.458919
473	-0.349722
474	-0.238223
475	-0.128626
476	-0.025298
477	0.066670
478	0.140821
479	0.188812
480	0.200251
481	0.164078
482	0.072524
483	-0.073810
484	-0.263119
485	-0.474020
486	-0.680595
487	-0.857681
488	-0.984106
489	-1.044396
490	-1.030815
491	-0.945559
492	-0.800696
493	-0.614952
494	-0.409370
495	-0.203876
496	-0.014860
497	0.146868
498	0.277560
499	0.380620
500	0.464866
501	0.541308
502	0.619594
503	0.705475
504	0.799906
505	0.899585
506	0.998461
507	1.089620
508	1.166997
509	1.226435
510	1.265961
511	1.285554
512	1.286736
513	1.272092
514	1.244601
515	1.206838
516	1.160460
517	1.106342
518	1.045265
519	0.978575
520	0.908392
521	0.837418
522	0.768634
523	0.705022
524	0.649298
525	0.603631
526	0.569470
527	0.547574
528	0.538132
529	0.540778
530	0.554438
531	0.577171
532	0.606175
533	0.637979
534	0.668793
535	0.694982
536	0.713663
537	0.723244
538	0.723723
539	0.716681
540	0.704964
541	0.692053
542	0.681176
543	0.674419
544	0.672098
545	0.672558
546	0.672392
547	0.667040
548	0.651709
549	0.622463
550	0.577184
551	0.515997
552	0.440940
553	0.355104
554	0.261785
555	0.163977
556	0.064051
557	-0.036718
558	-0.138747
559	-0.244360
560	-0.357151
561	-0.480491
562	-0.615650
563	-0.760227
564	-0.907295
565	-1.045454
