	D:\Pacientes\CDTI\Federico\marcha.txt
	ACCL_Y_F
	ANALOG
	PROCESSED
ITEM	X
1	-1.068385
2	-1.051361
3	-1.013934
4	-0.949776
5	-0.853063
6	-0.719488
7	-0.547234
8	-0.337495
9	-0.094219
10	0.176857
11	0.469320
12	0.776772
13	1.092921
14	1.411418
15	1.725760
16	2.029272
17	2.314970
18	2.575266
19	2.801687
20	2.984788
21	3.114306
22	3.179438
23	3.169291
24	3.074315
25	2.889791
26	2.619908
27	2.278565
28	1.885747
29	1.462650
30	1.028830
31	0.601659
32	0.196521
33	-0.173355
34	-0.497239
35	-0.767171
36	-0.978557
37	-1.131019
38	-1.228600
39	-1.278885
40	-1.291690
41	-1.277874
42	-1.248267
43	-1.212420
44	-1.177311
45	-1.146722
46	-1.121829
47	-1.102639
48	-1.089293
49	-1.082536
50	-1.083400
51	-1.092551
52	-1.109689
53	-1.133208
54	-1.160305
55	-1.187576
56	-1.211828
57	-1.230687
58	-1.242719
59	-1.247087
60	-1.243009
61	-1.229402
62	-1.204916
63	-1.168289
64	-1.118681
65	-1.055693
66	-0.979021
67	-0.888000
68	-0.781297
69	-0.656915
70	-0.512514
71	-0.345967
72	-0.156038
73	0.056955
74	0.290639
75	0.540349
76	0.799223
77	1.058664
78	1.309343
79	1.542707
80	1.752235
81	1.933871
82	2.086023
83	2.209437
84	2.306634
85	2.380784
86	2.434274
87	2.467247
88	2.476493
89	2.455732
90	2.398047
91	2.298928
92	2.157495
93	1.975817
94	1.758367
95	1.512653
96	1.249593
97	0.982077
98	0.722418
99	0.480037
100	0.259935
101	0.062260
102	-0.116638
103	-0.281922
104	-0.437925
105	-0.587023
106	-0.729753
107	-0.865467
108	-0.993064
109	-1.111637
110	-1.220906
111	-1.321318
112	-1.413541
113	-1.497516
114	-1.571872
115	-1.634316
116	-1.682598
117	-1.715137
118	-1.731023
119	-1.729813
120	-1.711408
121	-1.676044
122	-1.624425
123	-1.557976
124	-1.479150
125	-1.391661
126	-1.300379
127	-1.210613
128	-1.126775
129	-1.050909
130	-0.981730
131	-0.914690
132	-0.843074
133	-0.759604
134	-0.657965
135	-0.533859
136	-0.385504
137	-0.213598
138	-0.020826
139	0.188914
140	0.411235
141	0.641699
142	0.875968
143	1.109821
144	1.339146
145	1.559896
146	1.767930
147	1.958786
148	2.127569
149	2.269156
150	2.378645
151	2.451824
152	2.485438
153	2.477072
154	2.424482
155	2.324641
156	2.173674
157	1.968991
158	1.712705
159	1.413345
160	1.084454
161	0.741694
162	0.400643
163	0.075992
164	-0.218723
165	-0.471837
166	-0.675008
167	-0.824957
168	-0.924511
169	-0.982093
170	-1.009857
171	-1.021346
172	-1.029107
173	-1.042294
174	-1.064781
175	-1.094805
176	-1.126586
177	-1.153120
178	-1.168792
179	-1.170962
180	-1.160458
181	-1.141084
182	-1.118203
183	-1.096776
184	-1.079781
185	-1.067662
186	-1.058857
187	-1.050912
188	-1.041555
189	-1.029296
190	-1.013399
191	-0.993441
192	-0.968812
193	-0.938490
194	-0.901214
195	-0.855906
196	-0.802000
197	-0.739396
198	-0.668054
199	-0.587566
200	-0.496991
201	-0.394964
202	-0.279919
203	-0.150235
204	-0.004346
205	0.159015
206	0.340337
207	0.538723
208	0.751382
209	0.973416
210	1.198038
211	1.417332
212	1.623552
213	1.810239
214	1.972353
215	2.105659
216	2.206072
217	2.269091
218	2.289492
219	2.262216
220	2.184827
221	2.059417
222	1.891733
223	1.688921
224	1.458701
225	1.210000
226	0.953064
227	0.698336
228	0.454885
229	0.229138
230	0.024178
231	-0.160154
232	-0.326070
233	-0.476131
234	-0.612116
235	-0.734820
236	-0.844397
237	-0.941065
238	-1.025917
239	-1.101242
240	-1.169988
241	-1.234561
242	-1.295648
243	-1.351850
244	-1.400352
245	-1.438120
246	-1.462836
247	-1.473217
248	-1.468956
249	-1.450686
250	-1.419973
251	-1.379251
252	-1.331625
253	-1.280524
254	-1.229152
255	-1.179957
256	-1.134338
257	-1.092640
258	-1.054226
259	-1.017449
260	-0.979557
261	-0.936624
262	-0.883709
263	-0.815345
264	-0.726287
265	-0.612274
266	-0.470671
267	-0.300863
268	-0.104300
269	0.115835
270	0.355261
271	0.609324
272	0.873494
273	1.143446
274	1.414781
275	1.682590
276	1.941038
277	2.183135
278	2.400876
279	2.585679
280	2.728885
281	2.822059
282	2.857119
283	2.826452
284	2.723458
285	2.544244
286	2.290265
287	1.969858
288	1.597163
289	1.189664
290	0.766343
291	0.346726
292	-0.050240
293	-0.407834
294	-0.712837
295	-0.955969
296	-1.132152
297	-1.241202
298	-1.288464
299	-1.284575
300	-1.244102
301	-1.183398
302	-1.118072
303	-1.060408
304	-1.017335
305	-0.989948
306	-0.975085
307	-0.968118
308	-0.965328
309	-0.964864
310	-0.966452
311	-0.970625
312	-0.978011
313	-0.988797
314	-1.002369
315	-1.017240
316	-1.031296
317	-1.042295
318	-1.048397
319	-1.048494
320	-1.042220
321	-1.029728
322	-1.011430
323	-0.987818
324	-0.959415
325	-0.926758
326	-0.890348
327	-0.850441
328	-0.806640
329	-0.757448
330	-0.699972
331	-0.629933
332	-0.542032
333	-0.430626
334	-0.290635
335	-0.118509
336	0.086902
337	0.323765
338	0.587062
339	0.868756
340	1.158294
341	1.443550
342	1.712207
343	1.953107
344	2.157146
345	2.317679
346	2.430323
347	2.492143
348	2.501239
349	2.457826
350	2.365590
351	2.230958
352	2.060741
353	1.860976
354	1.637898
355	1.399063
356	1.152915
357	0.907309
358	0.668155
359	0.438659
360	0.219568
361	0.010491
362	-0.188615
363	-0.376942
364	-0.553192
365	-0.716036
366	-0.864554
367	-0.998647
368	-1.119173
369	-1.227651
370	-1.325579
371	-1.413622
372	-1.491132
373	-1.556346
374	-1.607176
375	-1.642093
376	-1.660582
377	-1.663090
378	-1.650826
379	-1.625592
380	-1.589535
381	-1.544769
382	-1.493093
383	-1.435994
384	-1.374785
385	-1.310739
386	-1.245094
387	-1.178811
388	-1.112015
389	-1.043371
390	-0.969860
391	-0.887236
392	-0.791019
393	-0.677571
394	-0.544913
395	-0.393129
396	-0.224297
397	-0.041923
398	0.149998
399	0.347959
400	0.549538
401	0.753415
402	0.958893
403	1.165215
404	1.370898
405	1.573210
406	1.767943
407	1.949560
408	2.111684
409	2.247879
410	2.352455
411	2.420795
412	2.448742
413	2.431342
414	2.362157
415	2.234669
416	2.045726
417	1.798409
418	1.501995
419	1.169763
420	0.816892
421	0.459387
422	0.113146
423	-0.207580
424	-0.491358
425	-0.729531
426	-0.916011
427	-1.048084
428	-1.127697
429	-1.161858
430	-1.161571
431	-1.139782
432	-1.108998
433	-1.078948
434	-1.054834
435	-1.037170
436	-1.023560
437	-1.011262
438	-0.998955
439	-0.987021
440	-0.976799
441	-0.969693
442	-0.966629
443	-0.967757
444	-0.972260
445	-0.978362
446	-0.983700
447	-0.986015
448	-0.983848
449	-0.976864
450	-0.965645
451	-0.951125
452	-0.934075
453	-0.914918
454	-0.893911
455	-0.871439
456	-0.848082
457	-0.824260
458	-0.799571
459	-0.772218
460	-0.738940
461	-0.695494
462	-0.637392
463	-0.560576
464	-0.461857
465	-0.339209
466	-0.192065
467	-0.021655
468	0.168708
469	0.373537
470	0.585446
471	0.795961
472	0.996872
473	1.181750
474	1.346831
475	1.490808
476	1.613951
477	1.717142
478	1.800958
479	1.864699
480	1.905363
481	1.917420
482	1.894720
483	1.833935
484	1.736290
485	1.606005
486	1.448107
487	1.268371
488	1.074283
489	0.874722
490	0.678474
491	0.492757
492	0.322062
493	0.167466
494	0.026786
495	-0.104327
496	-0.230556
497	-0.355202
498	-0.479396
499	-0.602200
500	-0.721275
501	-0.833998
502	-0.938675
503	-1.035181
504	-1.124624
505	-1.208217
506	-1.286157
507	-1.357311
508	-1.419699
509	-1.471118
510	-1.509424
511	-1.532553
512	-1.538636
513	-1.526373
514	-1.495527
515	-1.447254
516	-1.384017
517	-1.309132
518	-1.226108
519	-1.138026
520	-1.047161
521	-0.954951
522	-0.862378
523	-0.770601
524	-0.681345
525	-0.596693
526	-0.518432
527	-0.447466
528	-0.383691
529	-0.326363
530	-0.274674
531	-0.228205
532	-0.187029
533	-0.151477
534	-0.121711
535	-0.097330
536	-0.077104
537	-0.058945
538	-0.040135
539	-0.017768
540	0.010789
541	0.047568
542	0.093826
543	0.149971
544	0.215535
545	0.289225
546	0.369098
547	0.452869
548	0.538256
549	0.623153
550	0.705598
551	0.783656
552	0.855457
553	0.919418
554	0.974432
555	1.019907
556	1.055748
557	1.082318
558	1.100301
559	1.110383
560	1.112841
561	1.107200
562	1.091981
563	1.064572
564	1.021429
565	0.959002
