	D:\Pacientes\CDTI\Federico\marcha.txt
	ACCL_Z_F
	ANALOG
	PROCESSED
ITEM	X
1	-1.726422
2	-1.750787
3	-1.760131
4	-1.756503
5	-1.742487
6	-1.720758
7	-1.693505
8	-1.661899
9	-1.625948
10	-1.584847
11	-1.537498
12	-1.482663
13	-1.418702
14	-1.343367
15	-1.254032
16	-1.148274
17	-1.024426
18	-0.881999
19	-0.722106
20	-0.548067
21	-0.366170
22	-0.186021
23	-0.019097
24	0.125057
25	0.242789
26	0.337040
27	0.414235
28	0.480387
29	0.539488
30	0.594197
31	0.646785
32	0.698996
33	0.751000
34	0.800522
35	0.843367
36	0.875469
37	0.894684
38	0.900628
39	0.893266
40	0.872150
41	0.836812
42	0.787493
43	0.725510
44	0.653116
45	0.572881
46	0.486942
47	0.396674
48	0.302919
49	0.206407
50	0.107965
51	0.008381
52	-0.091905
53	-0.192942
54	-0.295062
55	-0.398549
56	-0.503482
57	-0.609709
58	-0.716720
59	-0.823420
60	-0.928157
61	-1.029181
62	-1.125242
63	-1.215826
64	-1.300877
65	-1.380314
66	-1.453791
67	-1.520773
68	-1.580704
69	-1.633031
70	-1.677174
71	-1.712568
72	-1.738700
73	-1.755031
74	-1.760918
75	-1.755742
76	-1.739100
77	-1.710733
78	-1.670075
79	-1.615696
80	-1.545004
81	-1.454276
82	-1.339101
83	-1.195510
84	-1.021618
85	-0.819185
86	-0.594522
87	-0.357939
88	-0.120397
89	0.111872
90	0.340084
91	0.569154
92	0.800975
93	1.031821
94	1.254951
95	1.463103
96	1.648308
97	1.801871
98	1.916652
99	1.989541
100	2.021823
101	2.017874
102	1.983501
103	1.924297
104	1.844409
105	1.746732
106	1.634206
107	1.510331
108	1.378176
109	1.239337
110	1.094216
111	0.943120
112	0.787004
113	0.627370
114	0.465722
115	0.303129
116	0.140307
117	-0.021952
118	-0.182430
119	-0.339429
120	-0.490926
121	-0.634817
122	-0.769136
123	-0.892207
124	-1.002784
125	-1.100202
126	-1.184538
127	-1.256680
128	-1.318193
129	-1.370897
130	-1.416233
131	-1.454729
132	-1.485981
133	-1.509167
134	-1.523806
135	-1.530403
136	-1.530700
137	-1.527269
138	-1.522526
139	-1.517817
140	-1.513174
141	-1.507610
142	-1.499362
143	-1.485789
144	-1.463200
145	-1.426834
146	-1.371107
147	-1.290212
148	-1.179080
149	-1.034371
150	-0.855061
151	-0.642680
152	-0.401617
153	-0.139850
154	0.130459
155	0.393983
156	0.635674
157	0.844878
158	1.017182
159	1.152926
160	1.254344
161	1.323961
162	1.364534
163	1.379258
164	1.371445
165	1.343926
166	1.298911
167	1.238625
168	1.165904
169	1.083836
170	0.994982
171	0.901277
172	0.804666
173	0.707636
174	0.613114
175	0.523796
176	0.441291
177	0.365505
178	0.294678
179	0.226293
180	0.158519
181	0.091101
182	0.024761
183	-0.040280
184	-0.105135
185	-0.171844
186	-0.242441
187	-0.318358
188	-0.400330
189	-0.488456
190	-0.582187
191	-0.680269
192	-0.780818
193	-0.881577
194	-0.980243
195	-1.074724
196	-1.163311
197	-1.244842
198	-1.318825
199	-1.385424
200	-1.445243
201	-1.498977
202	-1.546980
203	-1.588856
204	-1.623157
205	-1.647345
206	-1.658054
207	-1.651482
208	-1.623607
209	-1.570144
210	-1.486526
211	-1.368301
212	-1.212032
213	-1.016461
214	-0.783579
215	-0.519360
216	-0.234031
217	0.059073
218	0.347131
219	0.622500
220	0.884243
221	1.134214
222	1.371242
223	1.589075
224	1.778892
225	1.932709
226	2.045161
227	2.113958
228	2.139682
229	2.125277
230	2.075604
231	1.997037
232	1.896508
233	1.780194
234	1.652991
235	1.519193
236	1.383034
237	1.248014
238	1.115782
239	0.986009
240	0.857434
241	0.729055
242	0.600557
243	0.471937
244	0.342916
245	0.212731
246	0.080480
247	-0.054347
248	-0.191628
249	-0.330716
250	-0.470540
251	-0.609546
252	-0.745604
253	-0.876066
254	-0.997999
255	-1.108554
256	-1.205342
257	-1.286655
258	-1.351564
259	-1.399983
260	-1.432731
261	-1.451496
262	-1.458556
263	-1.456320
264	-1.446960
265	-1.432338
