	G:\BARCELONA\Modelos\Rodilla\Capturas\marcha.c3d
	RIPS_A
	TARGET
	ACCELERATION
ITEM	X
1	
2	-0.653118
3	-0.576004
4	-0.489503
5	-0.398904
6	-0.309348
7	-0.223964
8	-0.141636
9	-0.061989
10	0.013635
11	0.080392
12	0.131875
13	0.160113
14	0.156313
15	0.116080
16	0.037104
17	-0.080541
18	-0.232533
19	-0.407025
20	-0.586808
21	-0.751093
22	-0.877902
23	-0.951067
24	-0.961125
25	-0.905246
26	-0.788644
27	-0.624955
28	-0.434145
29	-0.236034
30	-0.045598
31	0.127405
32	0.279397
33	0.409931
34	0.525415
35	0.630021
36	0.729859
37	0.827610
38	0.925064
39	1.021922
40	1.114607
41	1.198053
42	1.265705
43	1.315624
44	1.342595
45	1.346320
46	1.329482
47	1.295805
48	1.250505
49	1.197457
50	1.139939
51	1.082420
52	1.026988
53	0.976622
54	0.932813
55	0.895262
56	0.862181
57	0.830591
58	0.800937
59	0.770986
60	0.741631
61	0.710785
62	0.674278
63	0.629723
64	0.575632
65	0.512898
66	0.441819
67	0.364482
68	0.282526
69	0.198036
70	0.111610
71	0.025183
72	-0.061691
73	-0.146329
74	-0.226796
75	-0.295788
76	-0.345707
77	-0.364631
78	-0.341535
79	-0.270754
80	-0.153333
81	0.002608
82	0.182241
83	0.365227
84	0.529736
85	0.656173
86	0.729412
87	0.741333
88	0.690967
89	0.585765
90	0.441745
91	0.277758
92	0.111088
93	-0.045225
94	-0.182167
95	-0.295863
96	-0.386834
97	-0.459254
98	-0.519827
99	-0.577495
100	-0.638366
101	-0.704527
102	-0.775307
103	-0.848845
104	-0.922158
105	-0.991970
106	-1.052916
107	-1.100451
108	-1.132712
109	-1.150742
110	-1.157150
111	-1.153722
112	-1.143292
113	-1.128465
114	-1.109466
115	-1.085252
116	-1.054630
117	-1.016781
118	-0.973791
119	-0.926852
120	-0.877231
121	-0.826344
122	-0.776350
123	-0.727847
124	-0.680313
125	-0.632182
126	-0.582784
127	-0.530630
128	-0.472963
129	-0.408143
130	-0.337586
131	-0.264496
132	-0.191182
133	-0.121891
134	-0.060499
135	-0.008270
136	0.035614
137	0.074282
138	0.112057
139	0.153258
140	0.199974
141	0.253096
142	0.311658
143	0.373274
144	0.432730
145	0.481606
146	0.508055
147	0.500381
148	0.449121
149	0.351220
150	0.213385
151	0.053048
152	-0.106543
153	-0.240356
154	-0.327080
155	-0.351667
156	-0.306517
157	-0.196695
158	-0.034422
159	0.160336
160	0.364482
161	0.557601
162	0.721216
163	0.849366
164	0.938177
165	0.989139
166	1.007318
167	1.001358
168	0.980496
169	0.953972
170	0.930578
171	0.918657
172	0.917763
173	0.924766
174	0.934154
175	0.939816
176	0.938326
177	0.927746
178	0.908077
179	0.877380
180	0.838339
181	0.794083
182	0.746697
183	0.697523
184	0.648201
185	0.601113
186	0.558347
187	0.518858
188	0.481308
189	0.447482
190	0.417233
191	0.386983
192	0.355989
193	0.321120
194	0.285804
195	0.250265
196	0.213385
197	0.171438
198	0.125766
199	0.079870
200	0.036582
201	-0.004023
202	-0.044480
203	-0.086948
204	-0.129938
205	-0.168458
206	-0.196099
207	-0.202805
208	-0.175312
209	-0.104606
210	0.007525
211	0.147894
212	0.298321
213	0.439137
214	0.550672
215	0.615790
216	0.622049
217	0.566840
218	0.457317
219	0.309646
220	0.139922
221	-0.037700
222	-0.209957
223	-0.365600
224	-0.497550
225	-0.603721
226	-0.687242
227	-0.752732
228	-0.805631
229	-0.851974
230	-0.897571
231	-0.943914
232	-0.987500
233	-1.023039
234	-1.048297
235	-1.063123
236	-1.065359
237	-1.053587
238	-1.030751
239	-1.000911
240	-0.967756
241	-0.932701
242	-0.895895
243	-0.856519
244	-0.817999
245	-0.783913
246	-0.757836
247	-0.742152
248	-0.736713
249	-0.738464
250	-0.743195
251	-0.747144
252	-0.747852
253	-0.743493
254	-0.732243
255	-0.711679
256	-0.680462
257	-0.638738
258	-0.588149
259	-0.531003
260	-0.466555
261	-0.395775
262	-0.320524
263	-0.248328
264	-0.182241
265	-0.123754
266	-0.074208
267	-0.037327
268	-0.013858
269	0.000224
270	0.014603
271	0.040382
272	0.081137
273	0.133961
274	0.190735
275	0.241250
276	0.270829
277	0.264943
278	0.219196
279	0.142232
280	0.049323
281	-0.043660
282	-0.123829
283	-0.179932
284	-0.202507
285	-0.181273
286	-0.112504
287	-0.000969
288	0.138432
289	0.286847
290	0.426844
291	0.544488
292	0.631809
293	0.685453
294	0.708178
295	0.711232
296	0.710785
297	0.718534
298	0.737906
299	0.766218
300	0.799000
301	0.836253
302	0.877231
303	0.917763
304	0.953525
305	0.979081
306	0.990927
307	0.986233
308	0.966042
309	0.935495
310	0.895634
311	0.847429
312	0.794455
313	0.743493
314	0.698641
315	0.656694
316	0.615120
317	0.576451
318	0.545010
319	0.520572
320	0.499859
321	0.478998
322	0.456646
323	0.432730
324	0.404716
325	0.370741
326	0.329465
327	0.282675
328	0.234544
329	0.188202
330	0.142902
331	0.092089
332	0.033528
333	-0.031218
334	-0.095740
335	-0.151023
336	-0.181273
337	-0.170320
338	-0.108927
339	0.002533
340	0.152737
341	0.322312
342	0.489429
343	0.631809
344	0.728220
345	0.761747
346	0.726581
347	0.627786
348	0.477284
349	0.292137
350	0.094026
351	-0.098944
352	-0.278577
353	-0.439137
354	-0.577122
355	-0.693463
356	-0.792183
357	-0.878014
358	-0.955723
359	-1.027212
360	-1.091212
361	-1.143999
362	-1.183897
363	-1.210123
364	-1.222640
365	-1.220815
366	-1.203865
367	-1.172125
368	-1.127124
369	-1.069978
370	-1.002215
371	-0.927597
372	-0.852831
373	-0.783801
374	-0.725165
375	-0.679493
376	-0.646971
377	-0.626817
378	-0.618920
379	-0.623353
380	-0.637062
381	-0.656880
382	-0.680573
383	-0.703633
384	-0.720695
385	-0.730529
386	-0.730678
387	-0.717193
388	-0.689141
389	-0.650696
390	-0.601821
391	-0.538491
392	-0.461265
393	-0.377521
394	-0.290126
395	-0.195205
396	-0.090487
397	0.021532
398	0.137463
399	0.252724
400	0.361279
401	0.457317
402	0.533909
403	0.584051
404	0.600219
405	0.577420
406	0.514463
407	0.411645
408	0.273213
409	0.112653
410	-0.051707
411	-0.201166
412	-0.317693
413	-0.383109
414	-0.388399
415	-0.332221
416	-0.222698
417	-0.077710
418	0.082701
419	0.241548
420	0.386983
421	0.507385
422	0.594705
423	0.646412
424	0.665709
425	0.664890
426	0.661910
427	0.667125
428	0.682250
429	0.707954
430	0.747740
431	0.799000
432	0.853091
433	0.897944
434	0.929236
435	0.948980
436	0.959635
437	0.960305
438	0.951216
439	0.934452
440	0.913516
441	0.889003
442	0.861585
443	0.834316
444	0.808984
445	0.783503
446	0.758916
447	0.738874
448	0.723898
449	0.706539
450	0.682771
451	0.659451
452	0.649840
453	0.659749
454	0.683442
455	0.709146
456	0.730455
457	0.739768
458	0.726730
459	0.688657
460	0.638366
461	0.597015
462	0.568703
463	0.531450
464	0.470057
465	0.405908
466	0.381470
467	0.423938
468	0.520200
469	0.627711
470	0.709817
471	0.749379
472	0.740923
473	0.682697
474	0.578538
475	0.438318
476	0.274852
477	0.099987
478	-0.075251
479	-0.239164
480	-0.380538
481	-0.491589
482	-0.569187
483	-0.617262
484	-0.645015
485	-0.662711
486	-0.678748
487	-0.702441
488	-0.743791
489	-0.807680
490	-0.893399
491	-0.999756
492	-1.125708
493	-1.266338
494	-1.412667
495	-1.553968
496	-1.678765
497	-1.777373
498	-1.844391
499	-1.880676
500	-1.890771
501	-1.878850
502	-1.848564
503	-1.801364
504	-1.736171
505	-1.653768
506	-1.556538
507	-1.444556
508	-1.316667
509	-1.173690
510	-1.018867
511	-0.856705
512	-0.689700
513	-0.520162
514	-0.351407
515	-0.187308
516	-0.033304
517	0.104792
518	0.221953
519	0.313669
520	0.375099
521	0.404902
522	0.406690
523	0.384375
524	0.341684
525	0.283755
526	0.218153
527	0.154004
528	0.097416
529	0.052005
530	0.021774
531	0.006557
532	0.001788
533	0.004936
534	0.015590
535	0.034161
536	0.059232
537	0.085775
538	0.111610
539	0.142083
540	0.184886
541	0.244826
542	0.322722
543	0.416338
544	0.521466
545	0.630543
546	0.731349
547	0.810772
548	0.859313
549	0.869595
550	0.837632
551	0.762604
552	0.649728
553	0.510626
554	0.360273
555	0.212900
556	0.080764
557	-0.025965
558	-0.095889
559	-0.123940
560	-0.123009
561	-0.113361
562	-0.107288
563	-0.111535
564	-0.129566
565	-0.155717
