	G:\BARCELONA\Modelos\Rodilla\Capturas\marcha.c3d
	RIPS_A
	TARGET
	ACCELERATION
ITEM	Y
1	
2	-1.137257
3	-1.270771
4	-1.385212
5	-1.480579
6	-1.537800
7	-1.556873
8	-1.542568
9	-1.475811
10	-1.378059
11	-1.251698
12	-1.091957
13	-0.929832
14	-0.736713
15	-0.534058
16	-0.326633
17	-0.107288
18	0.088215
19	0.276566
20	0.445843
21	0.605583
22	0.767708
23	0.929832
24	1.094341
25	1.239777
26	1.368523
27	1.466274
28	1.530647
29	1.554489
30	1.542568
31	1.511574
32	1.466274
33	1.394749
34	1.330376
35	1.246929
36	1.168251
37	1.077652
38	0.982285
39	0.896454
40	0.810623
41	0.731945
42	0.662804
43	0.586510
44	0.514984
45	0.417233
46	0.324249
47	0.228882
48	0.123978
49	0.023842
50	-0.066757
51	-0.164509
52	-0.264645
53	-0.364780
54	-0.488758
55	-0.600815
56	-0.724792
57	-0.844002
58	-0.962019
59	-1.075268
60	-1.187325
61	-1.307726
62	-1.425743
63	-1.554489
64	-1.672506
65	-1.782179
66	-1.869202
67	-1.931190
68	-1.978874
69	-2.005100
70	-2.020597
71	-2.009869
72	-1.960993
73	-1.864433
74	-1.717806
75	-1.516342
76	-1.277924
77	-1.004934
78	-0.727177
79	-0.442266
80	-0.154972
81	0.135899
82	0.431538
83	0.725985
84	1.020432
85	1.298189
86	1.547337
87	1.757145
88	1.918077
89	2.037287
90	2.124310
91	2.176762
92	2.205372
93	2.201796
94	2.168417
95	2.107620
96	2.021790
97	1.927614
98	1.819134
99	1.711845
100	1.597404
101	1.480579
102	1.358986
103	1.225471
104	1.083612
105	0.927448
106	0.767708
107	0.606775
108	0.443459
109	0.283718
110	0.129938
111	-0.014305
112	-0.154972
113	-0.281334
114	-0.398159
115	-0.498295
116	-0.578165
117	-0.649691
118	-0.706911
119	-0.770092
120	-0.832081
121	-0.888109
122	-0.942945
123	-0.988245
124	-1.031160
125	-1.069307
126	-1.100302
127	-1.144409
128	-1.195669
129	-1.260042
130	-1.333952
131	-1.401901
132	-1.468658
133	-1.530647
134	-1.579523
135	-1.614094
136	-1.627207
137	-1.622438
138	-1.587868
139	-1.516342
140	-1.395941
141	-1.213551
142	-0.989437
143	-0.723600
144	-0.451803
145	-0.175238
146	0.101328
147	0.369549
148	0.629425
149	0.853539
150	1.046658
151	1.207590
152	1.327991
153	1.416206
154	1.477003
155	1.518726
156	1.554489
157	1.574159
158	1.585484
159	1.584291
160	1.568794
161	1.543164
162	1.492500
163	1.430511
164	1.356602
165	1.282096
166	1.206398
167	1.124740
168	1.043677
169	0.954270
170	0.864267
171	0.776649
172	0.688434
173	0.608563
174	0.531673
175	0.457168
176	0.388026
177	0.306964
178	0.222921
179	0.124574
180	0.018477
181	-0.088811
182	-0.205040
183	-0.318289
184	-0.436902
185	-0.552535
186	-0.665784
187	-0.785589
188	-0.902414
189	-1.023412
190	-1.139641
191	-1.245141
192	-1.349449
193	-1.450777
194	-1.543760
195	-1.636744
196	-1.710653
197	-1.772642
198	-1.810193
199	-1.823306
200	-1.810193
201	-1.759529
202	-1.670122
203	-1.541972
204	-1.372099
205	-1.169443
206	-0.928044
207	-0.660419
208	-0.367761
209	-0.053644
210	0.264049
211	0.581741
212	0.877380
213	1.142919
214	1.384616
215	1.596510
216	1.783967
217	1.932383
218	2.037585
219	2.093613
220	2.096891
221	2.067089
222	2.009571
223	1.938939
224	1.856685
225	1.770258
226	1.664758
227	1.550615
228	1.429617
229	1.305342
230	1.189411
231	1.073480
232	0.964701
233	0.861287
234	0.757277
235	0.661016
236	0.550449
237	0.430197
238	0.298470
239	0.159591
240	0.029951
241	-0.101775
242	-0.225008
243	-0.344366
244	-0.463873
245	-0.570267
246	-0.669807
247	-0.746697
248	-0.802726
249	-0.844449
250	-0.870675
251	-0.905395
252	-0.944287
253	-0.990778
254	-1.045913
255	-1.096874
256	-1.155734
257	-1.212806
258	-1.270473
259	-1.328737
260	-1.375824
261	-1.427680
262	-1.478344
263	-1.530945
264	-1.581758
265	-1.610667
266	-1.622885
267	-1.603514
268	-1.553595
269	-1.475960
270	-1.358092
271	-1.208484
272	-1.015067
273	-0.786185
274	-0.537932
275	-0.277758
276	-0.034273
277	0.191629
278	0.388771
279	0.551939
280	0.698268
281	0.825673
282	0.952035
283	1.074821
284	1.187474
285	1.294762
286	1.376420
287	1.434982
288	1.463294
289	1.459122
290	1.437366
291	1.392961
292	1.340210
293	1.277328
294	1.197159
295	1.114607
296	1.019239
297	0.930429
298	0.845492
299	0.765026
300	0.694096
301	0.614822
302	0.534952
303	0.447631
304	0.351369
305	0.259280
306	0.161529
307	0.068247
308	-0.024438
309	-0.120103
310	-0.208914
311	-0.309348
312	-0.415146
313	-0.528693
314	-0.645518
315	-0.747442
316	-0.848174
317	-0.937879
318	-1.028180
319	-1.122057
320	-1.211166
321	-1.302958
322	-1.386404
323	-1.460314
324	-1.530051
325	-1.589060
326	-1.657605
327	-1.717806
328	-1.767874
329	-1.797080
330	-1.790524
331	-1.750588
332	-1.662970
333	-1.528263
334	-1.350641
335	-1.126528
336	-0.884533
337	-0.622272
338	-0.353456
339	-0.079274
340	0.211000
341	0.504255
342	0.802279
343	1.087189
344	1.341701
345	1.566410
346	1.746416
347	1.896620
348	2.014041
349	2.100468
350	2.158284
351	2.170205
352	2.146363
353	2.086759
354	1.997352
355	1.896024
356	1.782775
357	1.670122
358	1.556873
359	1.444221
360	1.340508
361	1.229048
362	1.114607
363	0.994205
364	0.873208
365	0.762343
366	0.650287
367	0.541806
368	0.430942
369	0.314116
370	0.202060
371	0.084639
372	-0.016689
373	-0.112057
374	-0.199080
375	-0.274181
376	-0.357628
377	-0.442266
378	-0.532866
379	-0.624657
380	-0.710487
381	-0.798702
382	-0.873804
383	-0.948906
384	-1.019239
385	-1.093149
386	-1.163483
387	-1.244545
388	-1.332760
389	-1.423359
390	-1.510382
391	-1.577139
392	-1.636744
393	-1.690388
394	-1.734495
395	-1.776218
396	-1.777411
397	-1.747608
398	-1.668930
399	-1.543760
400	-1.391172
401	-1.204014
402	-1.003742
403	-0.783205
404	-0.554323
405	-0.329018
406	-0.095367
407	0.119209
408	0.315905
409	0.500679
410	0.674725
411	0.861883
412	1.038313
413	1.208782
414	1.362562
415	1.497269
416	1.615286
417	1.696348
418	1.745224
419	1.747608
420	1.704693
421	1.636744
422	1.538992
423	1.424551
424	1.304150
425	1.175404
426	1.059771
427	0.953674
428	0.870228
429	0.802279
430	0.745058
431	0.704527
432	0.659227
433	0.602007
434	0.543594
435	0.476837
436	0.406504
437	0.308752
438	0.201464
439	0.075102
440	-0.058413
441	-0.185966
442	-0.313520
443	-0.422001
444	-0.518560
445	-0.628233
446	-0.714064
447	-0.814199
448	-0.891685
449	-0.983477
450	-1.103878
451	-1.212358
452	-1.313686
453	-1.360178
454	-1.373291
455	-1.384020
456	-1.361370
457	-1.358986
458	-1.342297
459	-1.324415
460	-1.285076
461	-1.170635
462	-1.029968
463	-0.859499
464	-0.693798
465	-0.505447
466	-0.216961
467	0.152588
468	0.593662
469	1.006126
470	1.300573
471	1.475811
472	1.488924
473	1.380444
474	1.165867
475	0.873804
476	0.584126
477	0.317097
478	0.143051
479	0.079870
480	0.114441
481	0.278950
482	0.491142
483	0.765324
484	1.049042
485	1.294613
486	1.499653
487	1.609325
488	1.637936
489	1.595020
490	1.478195
491	1.339912
492	1.180172
493	1.022816
494	0.874996
495	0.720024
496	0.588894
497	0.462532
498	0.364780
499	0.278950
500	0.205040
501	0.154972
502	0.102520
503	0.076294
504	0.057220
505	0.030994
506	0.028610
507	0.019073
508	0.035763
509	0.069141
510	0.116825
511	0.209808
512	0.300407
513	0.419617
514	0.562668
515	0.700951
516	0.874996
517	1.018047
518	1.173019
519	1.294613
520	1.366138
521	1.418591
522	1.409054
523	1.370907
524	1.289845
525	1.163483
526	1.025200
527	0.848770
528	0.686646
529	0.526905
530	0.360012
531	0.236034
532	0.104904
533	0.007153
534	-0.076294
535	-0.169277
536	-0.243187
537	-0.343323
538	-0.433922
539	-0.524521
540	-0.612736
541	-0.655651
542	-0.693798
543	-0.684261
544	-0.648499
545	-0.605583
546	-0.517368
547	-0.443459
548	-0.348091
549	-0.276566
550	-0.257492
551	-0.269413
552	-0.350475
553	-0.448227
554	-0.560284
555	-0.660419
556	-0.700951
557	-0.703335
558	-0.641346
559	-0.538826
560	-0.438690
561	-0.329018
562	-0.276566
563	-0.283718
564	-0.352859
565	-0.510216
