	G:\BARCELONA\Modelos\Rodilla\Capturas\marcha.c3d
	RIPS_A
	TARGET
	ACCELERATION
ITEM	Z
1	
2	-0.338554
3	0.067949
4	0.488758
5	0.910759
6	1.317263
7	1.707077
8	2.064705
9	2.378225
10	2.645254
11	2.845526
12	2.962351
13	2.985001
14	2.906322
15	2.727509
16	2.458096
17	2.125502
18	1.749992
19	1.356602
20	0.976324
21	0.616312
22	0.296831
23	0.019073
24	-0.209808
25	-0.401735
26	-0.547171
27	-0.660419
28	-0.745058
29	-0.803471
30	-0.844002
31	-0.885725
32	-0.910759
33	-0.932217
34	-0.952482
35	-0.957251
36	-0.956059
37	-0.950098
38	-0.946522
39	-0.944138
40	-0.945330
41	-0.964403
42	-0.991821
43	-1.032352
44	-1.080036
45	-1.133680
46	-1.184940
47	-1.242161
48	-1.287460
49	-1.327991
50	-1.363754
51	-1.387596
52	-1.394749
53	-1.395941
54	-1.378059
55	-1.343489
56	-1.298189
57	-1.229048
58	-1.140833
59	-1.038313
60	-0.909567
61	-0.759363
62	-0.591278
63	-0.407696
64	-0.206232
65	0.008345
66	0.233650
67	0.464916
68	0.694990
69	0.910759
70	1.108646
71	1.289845
72	1.453161
73	1.605749
74	1.748800
75	1.881719
76	2.012253
77	2.131462
78	2.229810
79	2.308488
80	2.359152
81	2.371669
82	2.350211
83	2.285242
84	2.171993
85	2.017021
86	1.829267
87	1.618266
88	1.389980
89	1.165867
90	0.948906
91	0.741482
92	0.557899
93	0.385046
94	0.221729
95	0.071526
96	-0.075102
97	-0.225306
98	-0.379086
99	-0.534058
100	-0.705719
101	-0.871420
102	-1.034737
103	-1.195669
104	-1.339912
105	-1.477003
106	-1.605749
107	-1.714230
108	-1.801252
109	-1.858473
110	-1.888275
111	-1.885891
112	-1.854897
113	-1.815557
114	-1.758337
115	-1.692772
116	-1.631975
117	-1.567602
118	-1.512766
119	-1.469851
120	-1.422167
121	-1.373291
122	-1.311302
123	-1.221895
124	-1.102686
125	-0.960827
126	-0.783205
127	-0.586510
128	-0.375509
129	-0.141859
130	0.097752
131	0.342131
132	0.593662
133	0.839233
134	1.077652
135	1.299381
136	1.505613
137	1.705885
138	1.881123
139	2.052784
140	2.204180
141	2.336502
142	2.443194
143	2.515912
144	2.533793
145	2.493262
146	2.383590
147	2.194643
148	1.947880
149	1.647472
150	1.308918
151	0.962019
152	0.623465
153	0.308752
154	0.039339
155	-0.182390
156	-0.357628
157	-0.489950
158	-0.585318
159	-0.649691
160	-0.708103
161	-0.749826
162	-0.798702
163	-0.846386
164	-0.894070
165	-0.936985
166	-0.976324
167	-0.997782
168	-1.007318
169	-1.000166
170	-0.982285
171	-0.956059
172	-0.940561
173	-0.923872
174	-0.920296
175	-0.926256
176	-0.938177
177	-0.954866
178	-0.976324
179	-0.997782
180	-1.020432
181	-1.038313
182	-1.057386
183	-1.065731
184	-1.071692
185	-1.074076
186	-1.066923
187	-1.051426
188	-1.024008
189	-0.988245
190	-0.933409
191	-0.870228
192	-0.783205
193	-0.678301
194	-0.550747
195	-0.394583
196	-0.213385
197	-0.011921
198	0.216961
199	0.454187
200	0.698566
201	0.942945
202	1.183748
203	1.409650
204	1.623034
205	1.816154
206	1.984835
207	2.121329
208	2.227426
209	2.298355
210	2.323985
211	2.315044
212	2.261400
213	2.164841
214	2.027750
215	1.850128
216	1.634359
217	1.396537
218	1.149178
219	0.903010
220	0.678301
221	0.474453
222	0.295639
223	0.134706
224	-0.008345
225	-0.146627
226	-0.274181
227	-0.392199
228	-0.517368
229	-0.638962
230	-0.768900
231	-0.894070
232	-1.015663
233	-1.124144
234	-1.223087
235	-1.316071
236	-1.392365
237	-1.451969
238	-1.499653
239	-1.525879
240	-1.542568
241	-1.553297
242	-1.556873
243	-1.561642
244	-1.561642
245	-1.554489
246	-1.542568
247	-1.527071
248	-1.500845
249	-1.472235
250	-1.438856
251	-1.385212
252	-1.314878
253	-1.223087
254	-1.107454
255	-0.960827
256	-0.780821
257	-0.576973
258	-0.342131
259	-0.094175
260	0.159740
261	0.427961
262	0.698566
263	0.967979
264	1.243949
265	1.515746
266	1.775026
267	2.028942
268	2.264380
269	2.470016
270	2.641678
271	2.772212
272	2.843738
273	2.852678
274	2.779961
275	2.613664
276	2.356172
277	2.024770
278	1.644492
279	1.233816
280	0.827312
281	0.442863
282	0.095963
283	-0.192523
284	-0.422001
285	-0.596046
286	-0.716448
287	-0.790358
288	-0.832081
289	-0.841618
290	-0.842810
291	-0.842810
292	-0.841618
293	-0.838041
294	-0.839233
295	-0.835657
296	-0.832081
297	-0.833273
298	-0.836849
299	-0.840425
300	-0.846386
301	-0.852346
302	-0.863075
303	-0.882149
304	-0.908375
305	-0.939369
306	-0.979900
307	-1.025200
308	-1.066923
309	-1.099110
310	-1.130104
311	-1.144409
312	-1.158714
313	-1.168251
314	-1.173019
315	-1.175404
316	-1.171827
317	-1.163483
318	-1.150370
319	-1.136065
320	-1.103878
321	-1.055002
322	-0.982285
323	-0.873804
324	-0.735521
325	-0.561476
326	-0.361204
327	-0.128746
328	0.131726
329	0.414252
330	0.718832
331	1.028776
332	1.325607
333	1.606941
334	1.862049
335	2.080202
336	2.259612
337	2.392530
338	2.476573
339	2.520084
340	2.525449
341	2.490282
342	2.422333
343	2.318025
344	2.174973
345	2.000332
346	1.798272
347	1.570582
348	1.336336
349	1.099110
350	0.875592
351	0.659823
352	0.464916
353	0.280738
354	0.099540
355	-0.070333
356	-0.236630
357	-0.402927
358	-0.565648
359	-0.727177
360	-0.888109
361	-1.035929
362	-1.169443
363	-1.285076
364	-1.387596
365	-1.466274
366	-1.536608
367	-1.579523
368	-1.609325
369	-1.628399
370	-1.631975
371	-1.630783
372	-1.621246
373	-1.606941
374	-1.583099
375	-1.552105
376	-1.517534
377	-1.481771
378	-1.442432
379	-1.399517
380	-1.342297
381	-1.262426
382	-1.159906
383	-1.024008
384	-0.869036
385	-0.704527
386	-0.523925
387	-0.333786
388	-0.135899
389	0.076890
390	0.292659
391	0.506043
392	0.724196
393	0.939965
394	1.151562
395	1.365542
396	1.577735
397	1.780391
398	1.967549
399	2.138615
400	2.287626
401	2.397299
402	2.465844
403	2.477765
404	2.423525
405	2.303123
406	2.115965
407	1.867414
408	1.577735
409	1.263022
410	0.934005
411	0.620484
412	0.330210
413	0.075102
414	-0.135899
415	-0.303984
416	-0.438094
417	-0.539422
418	-0.614524
419	-0.669360
420	-0.711083
421	-0.743866
422	-0.767708
423	-0.793934
424	-0.813007
425	-0.821352
426	-0.830889
427	-0.820160
428	-0.803471
429	-0.785589
430	-0.767708
431	-0.759363
432	-0.755787
433	-0.760555
434	-0.778437
435	-0.810623
436	-0.847578
437	-0.880957
438	-0.920296
439	-0.956059
440	-0.993013
441	-1.025200
442	-1.057386
443	-1.080036
444	-1.094341
445	-1.100302
446	-1.103878
447	-1.105070
448	-1.103878
449	-1.090765
450	-1.070499
451	-1.037717
452	-0.990033
453	-0.925064
454	-0.840425
455	-0.736713
456	-0.610948
457	-0.461340
458	-0.292063
459	-0.104308
460	0.097156
461	0.293851
462	0.484586
463	0.663400
464	0.838041
465	1.009107
466	1.173019
467	1.325011
468	1.469254
469	1.600385
470	1.720190
471	1.825690
472	1.913905
473	1.985431
474	2.036095
475	2.062917
476	2.062321
477	2.022982
478	1.946688
479	1.835227
480	1.689196
481	1.524687
482	1.357198
483	1.190305
484	1.030564
485	0.876784
486	0.727177
487	0.580549
488	0.430346
489	0.277162
490	0.130534
491	-0.002980
492	-0.129342
493	-0.250936
494	-0.379682
495	-0.513196
496	-0.648499
497	-0.779033
498	-0.894666
499	-0.987649
500	-1.060367
501	-1.109838
502	-1.146197
503	-1.166463
504	-1.170635
505	-1.161695
506	-1.137257
507	-1.095533
508	-1.037717
509	-0.964403
510	-0.887513
511	-0.819564
512	-0.759363
513	-0.713468
514	-0.672340
515	-0.629425
516	-0.592470
517	-0.564456
518	-0.545382
519	-0.529885
520	-0.507832
521	-0.482798
522	-0.460148
523	-0.438094
524	-0.410676
525	-0.378489
526	-0.345707
527	-0.320673
528	-0.295639
529	-0.263453
530	-0.230670
531	-0.188351
532	-0.134706
533	-0.070930
534	0.002980
535	0.079870
536	0.160933
537	0.247955
538	0.331402
539	0.419617
540	0.510812
541	0.599623
542	0.681281
543	0.760555
544	0.835061
545	0.903010
546	0.958443
547	0.999570
548	1.038909
549	1.081228
550	1.128912
551	1.181960
552	1.229644
553	1.267791
554	1.274943
555	1.239181
556	1.156330
557	1.022220
558	0.851154
559	0.650883
560	0.424385
561	0.172853
562	-0.083447
563	-0.339746
564	-0.590086
565	-0.826716
