	D:\Pacientes\CDTI\JL\marcha.txt
	ACCL_X_F
	ANALOG
	PROCESSED
ITEM	X
1	-0.902821
2	-0.813573
3	-0.698659
4	-0.566476
5	-0.426180
6	-0.286059
7	-0.152526
8	-0.030313
9	0.076340
10	0.162610
11	0.223258
12	0.254426
13	0.256213
14	0.234074
15	0.197704
16	0.157564
17	0.121233
18	0.092057
19	0.070213
20	0.054842
21	0.046247
22	0.047532
23	0.064929
24	0.106372
25	0.178635
26	0.284324
27	0.420173
28	0.577200
29	0.742139
30	0.899542
31	1.034330
32	1.134513
33	1.193290
34	1.209821
35	1.188574
36	1.137784
37	1.067687
38	0.988900
39	0.911015
40	0.841478
41	0.784953
42	0.743346
43	0.716466
44	0.703008
45	0.701462
46	0.710577
47	0.729287
48	0.756241
49	0.789271
50	0.825026
51	0.859000
52	0.886033
53	0.901186
54	0.900810
55	0.883529
56	0.850819
57	0.806761
58	0.756754
59	0.705492
60	0.655128
61	0.604510
62	0.549768
63	0.486015
64	0.409701
65	0.320845
66	0.223996
67	0.127274
68	0.040372
69	-0.027804
70	-0.072416
71	-0.096313
72	-0.110804
73	-0.131381
74	-0.171515
75	-0.239547
76	-0.338931
77	-0.468825
78	-0.623798
79	-0.793561
80	-0.963778
81	-1.118259
82	-1.241887
83	-1.323030
84	-1.354741
85	-1.334991
86	-1.266469
87	-1.156050
88	-1.013827
89	-0.851749
90	-0.682172
91	-0.516594
92	-0.364790
93	-0.234360
94	-0.130670
95	-0.057041
96	-0.015077
97	-0.005020
98	-0.026075
99	-0.076537
100	-0.153618
101	-0.252962
102	-0.368125
103	-0.490396
104	-0.609309
105	-0.713899
106	-0.794400
107	-0.843866
108	-0.859252
109	-0.841709
110	-0.796005
111	-0.729149
112	-0.648675
113	-0.561224
114	-0.471714
115	-0.383085
116	-0.296519
117	-0.212298
118	-0.131182
119	-0.055541
120	0.010298
121	0.061108
122	0.093522
123	0.109000
124	0.114925
125	0.122649
126	0.143126
127	0.182973
128	0.242763
129	0.317252
130	0.397295
131	0.473293
132	0.538994
133	0.593843
134	0.642747
135	0.693591
136	0.753867
137	0.827814
138	0.914719
139	1.008518
140	1.098853
141	1.173557
142	1.221737
143	1.236165
144	1.214259
145	1.157758
146	1.071681
147	0.963142
148	0.840286
149	0.711426
150	0.584336
151	0.465738
152	0.361030
153	0.274261
154	0.208177
155	0.164205
156	0.142392
157	0.141441
158	0.158891
159	0.191383
160	0.234887
161	0.284845
162	0.336334
163	0.384400
164	0.424659
165	0.454149
166	0.472200
167	0.480848
168	0.484298
169	0.487269
170	0.492863
171	0.501120
172	0.508915
173	0.510847
174	0.500482
175	0.471822
176	0.421168
177	0.348823
178	0.259619
179	0.162163
180	0.067079
181	-0.016086
182	-0.082889
183	-0.136438
184	-0.185397
185	-0.238922
186	-0.303338
187	-0.382343
188	-0.478481
189	-0.593704
190	-0.728279
191	-0.878549
192	-1.035482
193	-1.185824
194	-1.315214
195	-1.411258
196	-1.465434
197	-1.473923
198	-1.437651
199	-1.361673
200	-1.254115
201	-1.124836
202	-0.984040
203	-0.841092
204	-0.703710
205	-0.577600
206	-0.466497
207	-0.372527
208	-0.296763
209	-0.239751
210	-0.201905
211	-0.183733
212	-0.185873
213	-0.208806
214	-0.252198
215	-0.313984
216	-0.389575
217	-0.471639
218	-0.550769
219	-0.616921
220	-0.661143
221	-0.677032
222	-0.661617
223	-0.615609
224	-0.543122
225	-0.450890
226	-0.346824
227	-0.238216
228	-0.130530
229	-0.027599
230	0.066878
231	0.147586
232	0.206855
233	0.236044
234	0.229410
235	0.188551
236	0.124081
237	0.053128
238	-0.006043
239	-0.039594
240	-0.041363
241	-0.013071
242	0.037939
243	0.102628
244	0.174423
245	0.251603
246	0.336825
247	0.434430
248	0.547115
249	0.673464
250	0.807021
251	0.937022
252	1.050592
253	1.135863
254	1.184893
255	1.195281
256	1.170027
257	1.116069
258	1.042355
259	0.958099
260	0.871542
261	0.789243
262	0.715813
263	0.654006
264	0.605067
265	0.569202
266	0.545962
267	0.534430
268	0.533181
269	0.540170
270	0.552710
271	0.567624
272	0.581555
273	0.591368
274	0.594539
275	0.589501
276	0.575896
277	0.554670
278	0.527895
279	0.498158
280	0.467585
281	0.436859
282	0.404893
283	0.369397
284	0.327879
285	0.278371
286	0.219788
287	0.152389
288	0.078594
289	0.003420
290	-0.066027
291	-0.121544
292	-0.155321
293	-0.162962
294	-0.147241
295	-0.118766
296	-0.091738
297	-0.079126
298	-0.091667
299	-0.139146
300	-0.230218
301	-0.369615
302	-0.554235
303	-0.770814
304	-0.997342
305	-1.207941
306	-1.378722
307	-1.492094
308	-1.538719
309	-1.517666
310	-1.435415
311	-1.304092
312	-1.139275
313	-0.957746
314	-0.775557
315	-0.606529
316	-0.461163
317	-0.345965
318	-0.263408
319	-0.212666
320	-0.190957
321	-0.195007
322	-0.222079
323	-0.270274
324	-0.338074
325	-0.423417
326	-0.522584
327	-0.629270
328	-0.734272
329	-0.826164
330	-0.892833
331	-0.923373
332	-0.909786
333	-0.848306
334	-0.740436
335	-0.593428
336	-0.419494
337	-0.233755
338	-0.052341
339	0.108098
340	0.230362
341	0.298459
342	0.301804
343	0.240219
344	0.127096
345	-0.011752
346	-0.143732
347	-0.237784
348	-0.272505
349	-0.241022
350	-0.151292
351	-0.022281
352	0.122548
353	0.261891
354	0.381202
355	0.474692
356	0.545146
357	0.602005
358	0.658193
359	0.726303
360	0.814806
361	0.925166
362	1.050898
363	1.179187
364	1.294521
365	1.382920
