	D:\Pacientes\CDTI\JL\marcha.txt
	ACCL_Y_F
	ANALOG
	PROCESSED
ITEM	X
1	1.019028
2	1.482037
3	1.951493
4	2.410949
5	2.843788
6	3.233986
7	3.565601
8	3.821749
9	3.985741
10	4.046248
11	4.001650
12	3.858885
13	3.629915
14	3.328638
15	2.968880
16	2.564742
17	2.131872
18	1.686852
19	1.244926
20	0.818232
21	0.415539
22	0.042896
23	-0.295515
24	-0.596780
25	-0.859190
26	-1.082612
27	-1.268860
28	-1.421597
29	-1.545515
30	-1.645115
31	-1.723822
32	-1.783949
33	-1.827441
34	-1.856729
35	-1.874879
36	-1.884879
37	-1.888729
38	-1.887043
39	-1.879243
40	-1.864061
41	-1.840071
42	-1.806030
43	-1.760886
44	-1.703475
45	-1.632092
46	-1.544225
47	-1.436635
48	-1.305764
49	-1.148341
50	-0.962032
51	-0.745989
52	-0.501192
53	-0.230636
54	0.060564
55	0.365050
56	0.673232
57	0.973873
58	1.255414
59	1.507676
60	1.723300
61	1.898452
62	2.032587
63	2.127483
64	2.185867
65	2.209979
66	2.201887
67	2.166775
68	2.114221
69	2.053511
70	1.989404
71	1.923665
72	1.856956
73	1.786375
74	1.702893
75	1.593497
76	1.446419
77	1.255302
78	1.019984
79	0.744514
80	0.435107
81	0.099884
82	-0.250763
83	-0.604812
84	-0.950039
85	-1.275341
86	-1.571749
87	-1.833057
88	-2.055885
89	-2.239183
90	-2.383389
91	-2.489488
92	-2.558260
93	-2.590020
94	-2.584980
95	-2.543898
96	-2.468556
97	-2.361814
98	-2.227338
99	-2.069251
100	-1.891865
101	-1.699549
102	-1.496577
103	-1.286750
104	-1.072569
105	-0.854033
106	-0.627690
107	-0.386634
108	-0.121635
109	0.176738
110	0.515216
111	0.894899
112	1.309495
113	1.745406
114	2.183704
115	2.603249
116	2.983320
117	3.304244
118	3.547260
119	3.697220
120	3.747031
121	3.698518
122	3.560097
123	3.344538
124	3.066352
125	2.739260
126	2.375881
127	1.989239
128	1.593474
129	1.202360
130	0.827221
131	0.476021
132	0.153620
133	-0.137532
134	-0.396804
135	-0.625038
136	-0.824268
137	-0.997356
138	-1.147605
139	-1.278423
140	-1.392854
141	-1.493130
142	-1.580751
143	-1.657223
144	-1.724797
145	-1.786363
146	-1.844494
147	-1.900426
148	-1.953721
149	-2.002597
150	-2.044551
151	-2.076898
152	-2.097046
153	-2.102496
154	-2.090658
155	-2.058665
156	-2.003353
157	-1.921395
158	-1.809446
159	-1.664260
160	-1.482909
161	-1.263223
162	-1.004339
163	-0.707223
164	-0.375090
165	-0.013845
166	0.367438
167	0.756379
168	1.138002
169	1.496433
170	1.817051
171	2.088185
172	2.301880
173	2.453974
174	2.543685
175	2.572548
176	2.543013
177	2.458661
178	2.327235
179	2.161806
180	1.976161
181	1.780232
182	1.581625
183	1.389869
184	1.216139
185	1.067567
186	0.942106
187	0.828346
188	0.710427
189	0.575161
190	0.416325
191	0.233735
192	0.030070
193	-0.190879
194	-0.424211
195	-0.663822
196	-0.902882
197	-1.134569
198	-1.352913
199	-1.553605
200	-1.734358
201	-1.894573
202	-2.034514
203	-2.154402
204	-2.253741
205	-2.331108
206	-2.384543
207	-2.412359
208	-2.413856
209	-2.389459
210	-2.340279
211	-2.267473
212	-2.171764
213	-2.053202
214	-1.911210
215	-1.744833
216	-1.552974
217	-1.334376
218	-1.087328
219	-0.809493
220	-0.498230
221	-0.151496
222	0.230764
223	0.645112
224	1.083690
225	1.534390
226	1.982050
227	2.410126
228	2.802151
229	3.142215
230	3.414282
231	3.602488
232	3.695098
233	3.689151
234	3.590915
235	3.412523
236	3.167200
237	2.865915
238	2.518400
239	2.136341
240	1.733812
241	1.324751
242	0.920758
243	0.530765
244	0.161815
245	-0.180309
246	-0.491176
247	-0.768143
248	-1.010545
249	-1.219612
250	-1.398127
251	-1.549559
252	-1.676911
253	-1.782084
254	-1.866280
255	-1.931065
256	-1.979095
257	-2.013777
258	-2.038142
259	-2.053892
260	-2.061278
261	-2.059616
262	-2.047910
263	-2.025261
264	-1.990958
265	-1.944338
266	-1.884520
267	-1.810182
268	-1.719501
269	-1.610293
270	-1.480293
271	-1.327458
272	-1.150251
273	-0.947913
274	-0.720802
275	-0.470798
276	-0.201659
277	0.080797
278	0.368855
279	0.653555
280	0.925804
281	1.177573
282	1.402682
283	1.597048
284	1.758721
285	1.887729
286	1.985213
287	2.051709
288	2.085538
289	2.084155
290	2.049343
291	1.989350
292	1.913265
293	1.826121
294	1.731889
295	1.637508
296	1.549683
297	1.468024
298	1.382766
299	1.279246
300	1.145372
301	0.976418
302	0.774001
303	0.541812
304	0.283377
305	0.003536
306	-0.289718
307	-0.585990
308	-0.874767
309	-1.147152
310	-1.396702
311	-1.619732
312	-1.815168
313	-1.983893
314	-2.127641
315	-2.247783
316	-2.344573
317	-2.417304
318	-2.465192
319	-2.488252
320	-2.487467
321	-2.464124
322	-2.418869
323	-2.351067
324	-2.258632
325	-2.138253
326	-1.985917
327	-1.797591
328	-1.569909
329	-1.300772
330	-0.989685
331	-0.637787
332	-0.247841
333	0.175577
334	0.625965
335	1.095030
336	1.572869
337	2.047747
338	2.505016
339	2.925164
340	3.283593
341	3.556364
342	3.729256
343	3.801036
344	3.777571
345	3.662803
346	3.456626
347	3.162458
348	2.793445
349	2.369404
350	1.910984
351	1.437404
352	0.966546
353	0.514889
354	0.096126
355	-0.280607
356	-0.610834
357	-0.893001
358	-1.126743
359	-1.312525
360	-1.452415
361	-1.550837
362	-1.614131
363	-1.648952
364	-1.660762
365	-1.653581
