	D:\Pacientes\CDTI\JL\marcha.txt
	ACCL_Z_F
	ANALOG
	PROCESSED
ITEM	X
1	-1.280277
2	-1.218816
3	-1.132160
4	-1.014327
5	-0.861062
6	-0.672019
7	-0.453290
8	-0.218310
9	0.015928
10	0.236111
11	0.437147
12	0.620480
13	0.788925
14	0.942729
15	1.078827
16	1.192158
17	1.277271
18	1.329225
19	1.343966
20	1.319192
21	1.255548
22	1.156896
23	1.029449
24	0.880664
25	0.718291
26	0.549490
27	0.380190
28	0.214983
29	0.057522
30	-0.089117
31	-0.222510
32	-0.341254
33	-0.445159
34	-0.535120
35	-0.612873
36	-0.680736
37	-0.741304
38	-0.797179
39	-0.850817
40	-0.904414
41	-0.959787
42	-1.018301
43	-1.080851
44	-1.147839
45	-1.219120
46	-1.293967
47	-1.371017
48	-1.448273
49	-1.523209
50	-1.592974
51	-1.654622
52	-1.705261
53	-1.742032
54	-1.761995
55	-1.762160
56	-1.739769
57	-1.692552
58	-1.618530
59	-1.515346
60	-1.379719
61	-1.207760
62	-0.996197
63	-0.744057
64	-0.454464
65	-0.135788
66	0.199757
67	0.539821
68	0.873502
69	1.188901
70	1.471790
71	1.709281
72	1.894052
73	2.023764
74	2.097856
75	2.116634
76	2.082802
77	2.002250
78	1.882730
79	1.731861
80	1.556189
81	1.361597
82	1.154009
83	0.939440
84	0.723432
85	0.510557
86	0.304296
87	0.107231
88	-0.078674
89	-0.251852
90	-0.410975
91	-0.554796
92	-0.682025
93	-0.791306
94	-0.881346
95	-0.951161
96	-1.000324
97	-1.029182
98	-1.039026
99	-1.032236
100	-1.012332
101	-0.983866
102	-0.952031
103	-0.921908
104	-0.897442
105	-0.880480
106	-0.870225
107	-0.863229
108	-0.853945
109	-0.835981
110	-0.803505
111	-0.751948
112	-0.677818
113	-0.578222
114	-0.450906
115	-0.295397
116	-0.115202
117	0.080311
118	0.277234
119	0.462615
120	0.630127
121	0.781010
122	0.920425
123	1.052814
124	1.178875
125	1.294949
126	1.394530
127	1.470369
128	1.515792
129	1.525636
130	1.497753
131	1.434176
132	1.340487
133	1.223968
134	1.092072
135	0.951638
136	0.808478
137	0.667132
138	0.530913
139	0.402233
140	0.282883
141	0.173883
142	0.075109
143	-0.014760
144	-0.097828
145	-0.176455
146	-0.252854
147	-0.328848
148	-0.405718
149	-0.484175
150	-0.564403
151	-0.646097
152	-0.728477
153	-0.810357
154	-0.890303
155	-0.966802
156	-1.038391
157	-1.103753
158	-1.161771
159	-1.211572
160	-1.252580
161	-1.284595
162	-1.307841
163	-1.322899
164	-1.330578
165	-1.331731
166	-1.327029
167	-1.316719
168	-1.300333
169	-1.276051
170	-1.239872
171	-1.185397
172	-1.104767
173	-0.990347
174	-0.836499
175	-0.641357
176	-0.408411
177	-0.146031
178	0.136282
179	0.430587
180	0.728016
181	1.015779
182	1.279863
183	1.510516
184	1.703716
185	1.857911
186	1.970666
187	2.038485
188	2.059178
189	2.034129
190	1.968279
191	1.868052
192	1.739421
193	1.587500
194	1.417144
195	1.233353
196	1.041080
197	0.844795
198	0.648227
199	0.454409
200	0.265905
201	0.085004
202	-0.086191
203	-0.245766
204	-0.392029
205	-0.523510
206	-0.639006
207	-0.737720
208	-0.819459
209	-0.884770
210	-0.934917
211	-0.971726
212	-0.997322
213	-1.013866
214	-1.023387
215	-1.027676
216	-1.028083
217	-1.025267
218	-1.018995
219	-1.007950
220	-0.989516
221	-0.959913
222	-0.914830
223	-0.849997
224	-0.761154
225	-0.644059
226	-0.495166
227	-0.312672
228	-0.097918
229	0.142598
230	0.396439
231	0.648600
232	0.887460
233	1.108011
234	1.310482
235	1.496303
236	1.664289
237	1.809706
238	1.926164
239	2.007667
240	2.049294
241	2.047615
242	2.001888
243	1.915078
244	1.793479
245	1.645260
246	1.478960
247	1.302442
248	1.122336
249	0.943946
250	0.771507
251	0.608522
252	0.457811
253	0.321214
254	0.199277
255	0.091215
256	-0.004790
257	-0.091131
258	-0.170288
259	-0.244463
260	-0.315461
261	-0.384722
262	-0.453369
263	-0.522198
264	-0.591643
265	-0.661768
266	-0.732245
267	-0.802325
268	-0.870794
269	-0.935990
270	-0.995893
271	-1.048314
272	-1.091158
273	-1.122677
274	-1.141646
275	-1.147416
276	-1.139874
277	-1.119331
278	-1.086384
279	-1.041571
280	-0.984576
281	-0.913145
282	-0.822542
283	-0.706110
284	-0.556694
285	-0.368385
286	-0.138472
287	0.130353
288	0.429143
289	0.745649
290	1.068731
291	1.388370
292	1.692006
293	1.964328
294	2.192739
295	2.372000
296	2.502721
297	2.586623
298	2.623927
299	2.614326
300	2.559453
301	2.464005
302	2.334585
303	2.177709
304	1.998795
305	1.802638
306	1.594251
307	1.378800
308	1.160741
309	0.943250
310	0.728418
311	0.517739
312	0.312407
313	0.113486
314	-0.077857
315	-0.260103
316	-0.431261
317	-0.588963
318	-0.730650
319	-0.853743
320	-0.955707
321	-1.034060
322	-1.086435
323	-1.110853
324	-1.106148
325	-1.072366
326	-1.010994
327	-0.924955
328	-0.818386
329	-0.696054
330	-0.562343
331	-0.420229
332	-0.270916
333	-0.114049
334	0.052146
335	0.230353
336	0.422478
337	0.627389
338	0.839169
339	1.047157
340	1.239732
341	1.410436
342	1.561072
343	1.699189
344	1.832171
345	1.962114
346	2.085303
347	2.195871
348	2.288795
349	2.359542
350	2.402920
351	2.413881
352	2.389575
353	2.330646
354	2.240843
355	2.125708
356	1.991526
357	1.844921
358	1.692591
359	1.540706
360	1.394069
361	1.255616
362	1.126600
363	1.007244
364	0.897341
365	0.796515
