	D:\Modelos\Rodilla\Capturas\MARCHA.c3d
	RIPS_A
	TARGET
	ACCELERATION
ITEM	X
1	0.588596
2	0.416636
3	0.240803
4	0.074506
5	-0.071824
6	-0.193119
7	-0.284612
8	-0.343919
9	-0.364482
10	-0.343025
11	-0.284612
12	-0.202656
13	-0.109971
14	-0.022054
15	0.056326
16	0.124872
17	0.185966
18	0.237823
19	0.282526
20	0.310540
21	0.316501
22	0.289977
23	0.221431
24	0.105500
25	-0.052750
26	-0.243187
27	-0.448525
28	-0.650585
29	-0.830889
30	-0.977218
31	-1.081824
32	-1.140237
33	-1.154542
34	-1.130402
35	-1.078844
36	-1.011193
37	-0.939369
38	-0.873804
39	-0.818670
40	-0.778735
41	-0.754297
42	-0.748932
43	-0.758469
44	-0.784695
45	-0.819862
46	-0.864565
47	-0.915825
48	-0.971258
49	-1.022518
50	-1.068413
51	-1.103878
52	-1.125336
53	-1.130998
54	-1.123548
55	-1.100898
56	-1.070499
57	-1.029372
58	-0.977218
59	-0.909567
60	-0.822842
61	-0.712872
62	-0.580847
63	-0.426173
64	-0.258088
65	-0.088811
66	0.069737
67	0.203848
68	0.303388
69	0.368655
70	0.412166
71	0.445843
72	0.486076
73	0.548065
74	0.632703
75	0.745654
76	0.881553
77	1.033843
78	1.185238
79	1.316965
80	1.414120
81	1.468360
82	1.474917
83	1.436174
84	1.351833
85	1.228750
86	1.073778
87	0.899434
88	0.718236
89	0.540614
90	0.377893
91	0.233650
92	0.109971
93	0.010431
94	-0.059009
95	-0.096262
96	-0.098944
97	-0.068843
98	-0.010729
99	0.074208
100	0.183284
101	0.309348
102	0.441372
103	0.565052
104	0.664592
105	0.728965
106	0.753105
107	0.735521
108	0.684559
109	0.605881
110	0.506639
111	0.400543
112	0.298023
113	0.202358
114	0.120997
115	0.052154
116	-0.004470
117	-0.046194
118	-0.068843
119	-0.067055
120	-0.036657
121	0.009239
122	0.059605
123	0.098348
124	0.123382
125	0.129044
126	0.114143
127	0.079274
128	0.035167
129	-0.012219
130	-0.057220
131	-0.104308
132	-0.153780
133	-0.215173
134	-0.295341
135	-0.399947
136	-0.523627
137	-0.655055
138	-0.779033
139	-0.884831
140	-0.964999
141	-1.015961
142	-1.034141
143	-1.018643
144	-0.967085
145	-0.889301
146	-0.791550
147	-0.681877
148	-0.570714
149	-0.466108
150	-0.373125
151	-0.298917
152	-0.244379
153	-0.213981
154	-0.204742
155	-0.217259
156	-0.244379
157	-0.288785
158	-0.343025
159	-0.403821
160	-0.461936
161	-0.514388
162	-0.560880
163	-0.603795
164	-0.640452
165	-0.672042
166	-0.698566
167	-0.724494
168	-0.748932
169	-0.771582
170	-0.786781
171	-0.791550
172	-0.773817
173	-0.724941
174	-0.640005
175	-0.525564
176	-0.384152
177	-0.226796
178	-0.066459
179	0.078976
180	0.201315
181	0.298023
182	0.378191
183	0.448674
184	0.515431
185	0.584871
186	0.670552
187	0.777841
188	0.909418
189	1.056492
190	1.208782
191	1.349896
192	1.466274
193	1.543909
194	1.578927
195	1.568049
196	1.514107
197	1.422018
198	1.302809
199	1.164228
200	1.017451
201	0.866801
202	0.718236
203	0.576824
204	0.448823
205	0.336021
206	0.239015
207	0.161678
208	0.106841
209	0.075251
210	0.070333
211	0.092983
212	0.141859
213	0.216514
214	0.309497
215	0.405312
216	0.491589
217	0.561327
218	0.607222
219	0.621229
220	0.597239
221	0.533760
222	0.440031
223	0.329018
224	0.210106
225	0.091493
226	-0.019670
227	-0.115633
228	-0.187904
229	-0.233054
230	-0.248551
231	-0.226945
232	-0.162572
233	-0.062883
234	0.055283
235	0.172704
236	0.274330
237	0.350326
238	0.395626
239	0.410229
240	0.397414
241	0.361353
242	0.304282
243	0.229776
244	0.137091
245	0.023097
246	-0.112653
247	-0.265837
248	-0.429153
249	-0.589341
250	-0.731349
251	-0.845343
252	-0.925809
253	-0.970513
254	-0.981987
255	-0.965297
256	-0.927448
257	-0.875443
258	-0.814050
259	-0.750870
260	-0.695735
261	-0.652969
262	-0.624359
263	-0.607669
264	-0.603348
265	-0.607222
266	-0.620335
267	-0.643432
268	-0.673532
269	-0.702888
270	-0.731051
271	-0.752062
272	-0.763834
273	-0.766218
274	-0.763386
275	-0.755191
276	-0.743866
277	-0.727177
278	-0.708103
279	-0.687540
280	-0.663698
281	-0.629276
282	-0.580251
283	-0.510812
284	-0.420958
285	-0.310540
286	-0.186563
287	-0.056475
288	0.069439
289	0.186563
290	0.283420
291	0.348985
292	0.379533
293	0.386685
294	0.382513
295	0.380278
296	0.388920
297	0.420660
298	0.487268
299	0.600070
300	0.755787
301	0.941008
302	1.132041
303	1.309216
304	1.454651
305	1.552254
306	1.585186
307	1.551956
308	1.456738
309	1.312941
310	1.136810
311	0.950247
312	0.767410
313	0.598878
314	0.446737
315	0.316650
316	0.210553
317	0.129640
318	0.066906
319	0.022501
320	0.000894
321	0.006407
322	0.042468
323	0.108927
324	0.204742
325	0.323951
326	0.454783
327	0.584424
328	0.700951
329	0.787526
330	0.827610
331	0.815839
332	0.755936
333	0.656694
334	0.526458
335	0.369996
336	0.198931
337	0.039339
338	-0.083447
339	-0.150353
340	-0.145733
341	-0.067055
342	0.070333
343	0.235438
344	0.388026
345	0.494421
346	0.539571
347	0.520498
348	0.444949
349	0.335276
350	0.217855
351	0.111163
352	0.023991
353	-0.042021
354	-0.085831
355	-0.108182
356	-0.120550
357	-0.139177
358	-0.178218
359	-0.251979
360	-0.360459
361	-0.486523
362	-0.631958
363	-0.820011
364	-1.043379
365	-1.248270
