	D:\Modelos\Rodilla\Capturas\MARCHA.c3d
	RIPS_A
	TARGET
	ACCELERATION
ITEM	Y
1	-1.468658
2	-1.444817
3	-1.387596
4	-1.280308
5	-1.137257
6	-0.960827
7	-0.755787
8	-0.541210
9	-0.317097
10	-0.100136
11	0.107288
12	0.321865
13	0.522137
14	0.741482
15	0.925064
16	1.094341
17	1.206398
18	1.285076
19	1.316071
20	1.323223
21	1.292229
22	1.246929
23	1.158714
24	1.075268
25	0.958443
26	0.858307
27	0.755787
28	0.660419
29	0.565052
30	0.469685
31	0.374317
32	0.288486
33	0.205040
34	0.126362
35	0.052452
36	-0.011921
37	-0.071526
38	-0.120401
39	-0.170469
40	-0.230074
41	-0.307560
42	-0.396967
43	-0.497103
44	-0.600815
45	-0.706911
46	-0.807047
47	-0.914335
48	-1.025200
49	-1.136065
50	-1.245737
51	-1.345873
52	-1.423359
53	-1.481771
54	-1.518726
55	-1.531839
56	-1.522303
57	-1.481771
58	-1.406670
59	-1.288652
60	-1.128912
61	-0.922680
62	-0.679493
63	-0.412464
64	-0.123978
65	0.176430
66	0.479221
67	0.771284
68	1.039505
69	1.283884
70	1.491308
71	1.664162
72	1.782179
73	1.851320
74	1.860857
75	1.822710
76	1.752377
77	1.655817
78	1.538992
79	1.394749
80	1.236200
81	1.063347
82	0.891685
83	0.722408
84	0.556707
85	0.406504
86	0.264645
87	0.129938
88	0.004768
89	-0.116825
90	-0.227690
91	-0.333786
92	-0.423193
93	-0.501871
94	-0.565052
95	-0.610352
96	-0.634193
97	-0.656843
98	-0.672340
99	-0.689030
100	-0.709295
101	-0.728369
102	-0.749826
103	-0.771284
104	-0.807047
105	-0.849962
106	-0.891685
107	-0.936985
108	-0.970364
109	-0.993013
110	-1.004934
111	-1.000166
112	-0.971556
113	-0.916719
114	-0.829697
115	-0.711679
116	-0.571012
117	-0.412464
118	-0.256300
119	-0.092983
120	0.075102
121	0.249147
122	0.426769
123	0.604987
124	0.771284
125	0.925660
126	1.059771
127	1.174212
128	1.257658
129	1.302361
130	1.303554
131	1.271963
132	1.214147
133	1.136661
134	1.050234
135	0.958443
136	0.872612
137	0.792742
138	0.720024
139	0.647902
140	0.580549
141	0.512600
142	0.444055
143	0.374913
144	0.310540
145	0.247955
146	0.190735
147	0.126362
148	0.056624
149	-0.020266
150	-0.105500
151	-0.189543
152	-0.272989
153	-0.353456
154	-0.438094
155	-0.522137
156	-0.607371
157	-0.689626
158	-0.774860
159	-0.855923
160	-0.939369
161	-1.023412
162	-1.108050
163	-1.192093
164	-1.275539
165	-1.357198
166	-1.433492
167	-1.503229
168	-1.551807
169	-1.573265
170	-1.549721
171	-1.483262
172	-1.369715
173	-1.213253
174	-1.019537
175	-0.793040
176	-0.534356
177	-0.243783
178	0.065565
179	0.374913
180	0.668764
181	0.938177
182	1.179576
183	1.386404
184	1.556575
185	1.682639
186	1.759827
187	1.792312
188	1.773834
189	1.723468
190	1.636446
191	1.518130
192	1.371205
193	1.202524
194	1.023710
195	0.847578
196	0.678599
197	0.514090
198	0.350773
199	0.189245
200	0.036657
201	-0.096262
202	-0.203550
203	-0.291467
204	-0.367463
205	-0.434816
206	-0.495017
207	-0.547469
208	-0.592470
209	-0.631511
210	-0.668168
211	-0.705123
212	-0.743568
213	-0.786781
214	-0.840127
215	-0.904202
216	-0.976920
217	-1.057386
218	-1.139343
219	-1.209676
220	-1.257658
221	-1.282990
222	-1.289248
223	-1.275241
224	-1.235008
225	-1.160800
226	-1.041591
227	-0.872314
228	-0.661314
229	-0.425577
230	-0.178218
231	0.070035
232	0.311732
233	0.539720
234	0.751913
235	0.946224
236	1.120567
237	1.271069
238	1.392663
239	1.478195
240	1.520216
241	1.515448
242	1.466870
243	1.385808
244	1.288056
245	1.187623
246	1.087785
247	0.987649
248	0.887513
249	0.788867
250	0.694394
251	0.608563
252	0.534952
253	0.468493
254	0.399947
255	0.331402
256	0.256300
257	0.180006
258	0.102520
259	0.023842
260	-0.056624
261	-0.138283
262	-0.223517
263	-0.311732
264	-0.404119
265	-0.501275
266	-0.602007
267	-0.702143
268	-0.801682
269	-0.892282
270	-0.973344
271	-1.047254
272	-1.118183
273	-1.194477
274	-1.261234
275	-1.319647
276	-1.361370
277	-1.379251
278	-1.376867
279	-1.355410
280	-1.314282
281	-1.245141
282	-1.142025
283	-0.999570
284	-0.816584
285	-0.594854
286	-0.340939
287	-0.063181
288	0.229478
289	0.524521
290	0.809431
291	1.072884
292	1.306534
293	1.503229
294	1.667738
295	1.803637
296	1.902580
297	1.955032
298	1.965761
299	1.927614
300	1.848936
301	1.739264
302	1.608133
303	1.461506
304	1.300573
305	1.130104
306	0.957251
307	0.783205
308	0.618696
309	0.463724
310	0.307560
311	0.152588
312	-0.008345
313	-0.162125
314	-0.319481
315	-0.473261
316	-0.624657
317	-0.764132
318	-0.882149
319	-0.977516
320	-1.039505
321	-1.075268
322	-1.094341
323	-1.096725
324	-1.084805
325	-1.065731
326	-1.033545
327	-0.987053
328	-0.931025
329	-0.865459
330	-0.804663
331	-0.730753
332	-0.643730
333	-0.538826
334	-0.413656
335	-0.274181
336	-0.115633
337	0.053644
338	0.234842
339	0.401735
340	0.551939
341	0.684261
342	0.809431
343	0.941753
344	1.085997
345	1.242161
346	1.399517
347	1.544952
348	1.668930
349	1.760721
350	1.816750
351	1.833439
352	1.810789
353	1.754761
354	1.674891
355	1.604557
356	1.558065
357	1.533031
358	1.523495
359	1.504421
360	1.478195
361	1.444817
362	1.387596
363	1.249313
364	1.009703
365	0.729561
